k,e1,e2
132.1,-5369.21958,1601.4813234719152
132.58,-5332.44143,1584.2732134324935
133.06,-5287.80701,1573.8707528516459
133.55,-5239.85511,1556.8228958475477
134.03,-5191.04288,1530.639562885921
134.51,-5148.65373,1491.4259928597132
134.99,-5118.14897,1447.4752229036224
135.47,-5093.80415,1420.1660012613863
135.96,-5066.42854,1410.5267615772286
136.44,-5028.8929,1422.2851874409266
136.92,-4982.15125,1436.5782623234008
137.4,-4932.78199,1448.4465946224161
137.89,-4889.27375,1445.8098636147654
138.37,-4854.05081,1423.8907660518898
138.85,-4820.84619,1394.0564188548794
139.33,-4785.09162,1362.379990978253
139.81,-4746.13898,1348.8554231557114
140.3,-4708.58794,1351.9661978340698
140.78,-4677.87921,1356.2757430268503
141.26,-4657.30437,1347.9274021033557
141.74,-4645.45735,1312.0688837869338
142.22,-4639.06514,1266.0301469829842
142.71,-4635.60521,1225.0430898199145
143.19,-4634.81456,1198.0686947862282
143.67,-4633.36261,1185.8423510066125
144.15,-4626.25288,1169.701688649601
144.64,-4609.16118,1144.9235584056971
145.12,-4580.05078,1109.208434482635
145.6,-4538.6732,1065.1252428
146.08,-4494.8654,1027.941048635816
146.56,-4451.51995,1001.7693582060589
147.05,-4413.53342,996.19456603713
147.53,-4380.16926,1006.7469675632075
148.01,-4347.52274,1017.426233422877
148.49,-4318.65407,1018.9255630189238
148.97,-4291.50755,1001.8311870242331
149.46,-4260.09584,965.2202395035462
149.94,-4226.53184,925.7545186399893
150.42,-4182.49619,886.0492562539557
150.9,-4129.34325,856.9665138269053
151.38,-4064.36552,837.302267168186
151.87,-4035.64933,819.8662678422335
152.35,-3959.07559,773.9040116334755
152.83,-3848.27056,752.1588762366027
153.31,-3713.02291,759.5826746850173
153.8,-3582.29725,792.2568904348504
154.28,-3464.45064,835.4085593966813
154.76,-3366.32173,884.8115789617474
155.24,-3280.62701,946.6480242360216
155.72,-3208.67211,1034.0697302840997
156.21,-3173.12369,1147.9399760583829
156.69,-3183.15929,1263.7837456207799
157.17,-3227.61584,1349.6770149522176
157.65,-3288.0809,1389.698306321091
158.13,-3337.71825,1396.2287499700249
158.62,-3363.4041,1392.4059300670785
159.1,-3375.70552,1386.7829014071654
159.58,-3374.51582,1388.8684801448803
160.06,-3373.77862,1395.7520480727228
160.54,-3378.52144,1410.1572179524105
