#Frequency,Eps1ab,Eps2ab,Eps1c,Eps2c
100.281,-571.9215551,2124.55591,5,0.1
100.924,-576.6109621,2114.494409,5,0.1
101.567,-581.456173,2095.202367,5,0.1
102.21,-580.1087951,2071.242115,5,0.1
102.852,-573.1155295,2049.148334,5,0.1
103.495,-565.9413224,2030.952348,5,0.1
104.138,-560.963027,2013.211686,5,0.1
104.781,-554.8780179,1993.264887,5,0.1
105.424,-544.1532827,1973.606969,5,0.1
106.067,-530.9110609,1958.42727,5,0.1
106.709,-518.960308,1948.355167,5,0.1
107.352,-511.2367744,1940.896716,5,0.1
107.995,-506.1865619,1933.388089,5,0.1
108.638,-504.6746694,1924.879574,5,0.1
109.281,-504.0382185,1913.169152,5,0.1
109.924,-501.2795425,1899.43274,5,0.1
110.566,-496.2300099,1886.633406,5,0.1
111.209,-491.2057379,1876.383744,5,0.1
111.852,-489.0847794,1867.534865,5,0.1
112.495,-490.3921729,1856.369364,5,0.1
113.138,-490.1573715,1840.857035,5,0.1
113.781,-485.8704242,1823.863074,5,0.1
114.423,-477.073321,1809.143347,5,0.1
115.066,-467.8657233,1799.190219,5,0.1
115.709,-461.0047073,1792.647921,5,0.1
116.352,-458.5170512,1786.73525,5,0.1
116.995,-458.1510982,1778.075249,5,0.1
117.637,-456.0704569,1767.151614,5,0.1
118.28,-452.469953,1756.783498,5,0.1
118.923,-448.763989,1747.865425,5,0.1
119.566,-446.5109694,1739.806557,5,0.1
120.209,-446.0427064,1730.735056,5,0.1
120.852,-445.3429405,1719.211405,5,0.1
121.494,-441.9737444,1706.019981,5,0.1
122.137,-434.4224445,1693.961138,5,0.1
122.78,-424.568234,1686.600912,5,0.1
123.423,-417.4616343,1684.624757,5,0.1
124.066,-415.7608406,1684.672633,5,0.1
124.709,-419.7582509,1682.293492,5,0.1
125.351,-424.3867058,1674.616241,5,0.1
125.994,-426.0586212,1664.106619,5,0.1
126.637,-425.4941876,1654.016643,5,0.1
127.28,-424.500052,1644.990938,5,0.1
127.923,-423.935046,1635.966791,5,0.1
128.566,-422.012958,1626.439806,5,0.1
129.208,-418.2610091,1618.535044,5,0.1
129.851,-415.7215874,1613.438002,5,0.1
130.494,-416.0713733,1608.961727,5,0.1
131.137,-417.7789276,1603.123739,5,0.1
131.78,-419.451138,1596.42237,5,0.1
132.423,-421.874274,1589.713535,5,0.1
133.065,-426.3230175,1581.727775,5,0.1
133.708,-430.486467,1570.546831,5,0.1
134.351,-432.1154653,1557.122214,5,0.1
134.994,-429.9337066,1544.012289,5,0.1
135.637,-426.3959504,1533.594109,5,0.1
136.279,-424.0538493,1524.906745,5,0.1
136.922,-422.2208775,1515.952121,5,0.1
137.565,-419.3584112,1507.028834,5,0.1
138.208,-415.9634697,1499.587436,5,0.1
138.851,-413.7078237,1493.810578,5,0.1
139.494,-413.8816241,1488.104193,5,0.1
140.136,-415.1591982,1480.472737,5,0.1
140.779,-415.549546,1470.695443,5,0.1
141.422,-413.1801276,1460.208892,5,0.1
142.065,-408.0377,1451.841687,5,0.1
142.708,-403.5167507,1447.206025,5,0.1
143.351,-402.3146416,1444.350147,5,0.1
143.993,-403.8268107,1440.508196,5,0.1
144.636,-406.908926,1434.291016,5,0.1
145.279,-408.9735294,1425.516913,5,0.1
145.922,-409.1704104,1415.626892,5,0.1
146.565,-406.5405617,1406.487294,5,0.1
147.208,-403.5768021,1400.050136,5,0.1
147.85,-402.5047137,1395.379943,5,0.1
148.493,-404.184244,1390.097867,5,0.1
149.136,-406.507536,1382.196155,5,0.1
149.779,-407.0951672,1372.213636,5,0.1
150.422,-404.9475615,1362.204698,5,0.1
151.065,-401.3039347,1353.982072,5,0.1
151.707,-397.5236398,1347.931658,5,0.1
152.35,-395.3214374,1343.381608,5,0.1
152.993,-394.664362,1338.728524,5,0.1
153.636,-394.6146246,1333.258528,5,0.1
154.279,-394.1372091,1327.343767,5,0.1
154.921,-393.4996524,1321.909077,5,0.1
155.564,-393.4553455,1317.247966,5,0.1
156.207,-395.4370418,1312.556041,5,0.1
156.85,-398.9872653,1305.789551,5,0.1
157.493,-401.7803446,1296.173317,5,0.1
158.136,-402.394111,1284.577403,5,0.1
158.778,-399.2504439,1272.690152,5,0.1
159.421,-392.9546777,1263.150469,5,0.1
160.064,-385.7192043,1257.48354,5,0.1
160.707,-380.2340776,1255.452338,5,0.1
161.35,-378.5510792,1254.888593,5,0.1
161.993,-379.7279781,1253.095082,5,0.1
162.635,-381.8319438,1249.433247,5,0.1
163.278,-384.4428545,1244.248131,5,0.1
163.921,-386.7842093,1237.451755,5,0.1
164.564,-388.2389191,1229.292863,5,0.1
165.207,-387.8324355,1220.441542,5,0.1
165.85,-385.3329898,1212.542191,5,0.1
166.492,-382.689267,1206.726997,5,0.1
167.135,-381.4107236,1202.221001,5,0.1
167.778,-382.3034725,1197.270006,5,0.1
168.421,-383.9558728,1189.971852,5,0.1
169.064,-383.5571952,1180.53089,5,0.1
169.707,-380.1755066,1171.338367,5,0.1
170.349,-375.2143383,1164.291015,5,0.1
