T[K]	Re[\chi]	Im[\chi]
 196.00700	  12.74660	  -0.41916
 196.18700	  12.74290	  -0.40776
 196.36600	  12.74298	  -0.41340
 196.54600	  12.74318	  -0.42436
 196.72600	  12.74021	  -0.41679
 196.90800	  12.74533	  -0.42166
 197.08900	  12.74689	  -0.42394
 197.27000	  12.73722	  -0.42460
 197.45100	  12.73137	  -0.42267
 197.63300	  12.73909	  -0.42533
 197.81500	  12.74368	  -0.42880
 197.99700	  12.75139	  -0.42356
 198.17900	  12.75043	  -0.42339
 198.36200	  12.74689	  -0.42030
 198.54400	  12.74576	  -0.41639
 198.72500	  12.73770	  -0.41311
 198.90600	  12.73331	  -0.42152
 199.08700	  12.73129	  -0.42433
 199.26900	  12.74764	  -0.42182
 199.45100	  12.74105	  -0.40980
 199.63300	  12.74357	  -0.41600
 199.81600	  12.74617	  -0.42473
 199.99800	  12.73897	  -0.41535
 200.18100	  12.73752	  -0.41969
 200.36400	  12.74177	  -0.41755
 200.54700	  12.74445	  -0.42386
 200.73000	  12.74294	  -0.42147
 200.91400	  12.74625	  -0.42382
 201.09800	  12.74608	  -0.41521
 201.28100	  12.73306	  -0.42367
 201.46600	  12.74297	  -0.41454
 201.65100	  12.74745	  -0.41046
 201.83700	  12.75516	  -0.41417
 202.02100	  12.74770	  -0.41716
 202.20600	  12.74379	  -0.41756
 202.39200	  12.74664	  -0.41938
 202.57800	  12.73921	  -0.43257
 202.76300	  12.74482	  -0.42515
 202.94900	  12.74961	  -0.41316
 203.13600	  12.74845	  -0.41236
 203.32200	  12.74376	  -0.41727
 203.50900	  12.73953	  -0.41288
 203.69600	  12.74333	  -0.42155
 203.88200	  12.75211	  -0.41969
 204.06900	  12.73708	  -0.42523
 204.25600	  12.74724	  -0.42404
 204.44300	  12.74630	  -0.41465
 204.63000	  12.74253	  -0.41659
 204.81700	  12.75211	  -0.42074
 205.00500	  12.74224	  -0.42182
 205.19300	  12.74109	  -0.42420
 205.38000	  12.74737	  -0.42179
 205.56700	  12.74165	  -0.42837
 205.75500	  12.74453	  -0.41762
 205.94300	  12.74474	  -0.42349
 206.13000	  12.74791	  -0.43470
 206.31800	  12.75221	  -0.42761
 206.50600	  12.75724	  -0.42296
 206.69400	  12.74794	  -0.41829
 206.88200	  12.73293	  -0.41966
 207.07000	  12.75140	  -0.41848
 207.25800	  12.74933	  -0.40589
 207.44600	  12.74529	  -0.41565
 207.63400	  12.74804	  -0.42385
 207.82100	  12.74222	  -0.41346
 208.00900	  12.73723	  -0.42088
 208.19600	  12.74215	  -0.41592
 208.38400	  12.74866	  -0.42120
 208.57200	  12.74153	  -0.41289
 208.76000	  12.74215	  -0.42555
 208.94700	  12.75458	  -0.42033
 209.13400	  12.74222	  -0.42169
 209.32200	  12.74302	  -0.42921
 209.50900	  12.74966	  -0.41860
 209.69700	  12.75405	  -0.40431
 209.88400	  12.74586	  -0.41703
 210.07100	  12.74079	  -0.40230
 210.25900	  12.74762	  -0.42011
 210.44500	  12.75923	  -0.41528
 210.63300	  12.74897	  -0.41773
 210.82000	  12.75308	  -0.41919
 211.00700	  12.75629	  -0.42883
 211.19400	  12.74430	  -0.41914
 211.38000	  12.74615	  -0.41346
 211.56700	  12.75327	  -0.41318
 211.75300	  12.74983	  -0.41822
 211.93900	  12.74675	  -0.41978
 212.12600	  12.74555	  -0.42331
 212.31200	  12.75472	  -0.41949
 212.49900	  12.75901	  -0.42161
 212.68500	  12.75250	  -0.42199
 212.87000	  12.74738	  -0.42112
 213.05500	  12.74709	  -0.42399
 213.23900	  12.75009	  -0.41797
 213.42200	  12.74543	  -0.41258
 213.60500	  12.74084	  -0.41375
 213.78800	  12.75548	  -0.42152
 213.97200	  12.74438	  -0.41664
 214.15400	  12.74971	  -0.41490
 214.33700	  12.75339	  -0.41673
 214.52000	  12.75034	  -0.41561
 214.70200	  12.74714	  -0.41709
 214.88400	  12.75429	  -0.41836
 215.06700	  12.75248	  -0.42066
 215.24900	  12.75081	  -0.42019
 215.43100	  12.75768	  -0.42041
 215.61300	  12.75373	  -0.41339
 215.79500	  12.74410	  -0.41877
 215.97700	  12.74214	  -0.41530
 216.15900	  12.75843	  -0.42324
 216.34000	  12.77208	  -0.41735
 216.52200	  12.76285	  -0.41229
 216.70300	  12.76389	  -0.41444
 216.88400	  12.76473	  -0.40988
 217.06500	  12.76508	  -0.42246
 217.24600	  12.76268	  -0.42382
 217.42700	  12.75403	  -0.41932
 217.60800	  12.75863	  -0.41265
 217.78900	  12.76137	  -0.42056
 217.97000	  12.75922	  -0.42345
 218.15100	  12.74845	  -0.42177
 218.33200	  12.75509	  -0.42542
 218.51300	  12.75320	  -0.41831
 218.69400	  12.76422	  -0.42459
 218.87500	  12.76496	  -0.41269
 219.05600	  12.77618	  -0.41160
 219.23700	  12.76355	  -0.42283
 219.41800	  12.75864	  -0.41158
 219.59900	  12.76050	  -0.42564
 219.78000	  12.76487	  -0.42317
 219.96100	  12.76322	  -0.40676
 220.14300	  12.76025	  -0.41712
 220.32500	  12.76082	  -0.41670
 220.50700	  12.76757	  -0.42258
 220.68800	  12.74810	  -0.41812
 220.87000	  12.76506	  -0.41161
 221.05200	  12.75672	  -0.42232
 221.23500	  12.76772	  -0.42220
 221.41700	  12.76544	  -0.42569
 221.60000	  12.76831	  -0.41690
 221.78300	  12.75965	  -0.42288
 221.96600	  12.76075	  -0.41214
 222.14900	  12.77219	  -0.41594
 222.33300	  12.77454	  -0.41281
 222.51700	  12.77564	  -0.39845
 222.70100	  12.76661	  -0.42125
 222.88500	  12.77785	  -0.41829
 223.06900	  12.76767	  -0.41795
 223.25400	  12.76967	  -0.42375
 223.44000	  12.76670	  -0.41808
 223.62500	  12.76835	  -0.41970
 223.81100	  12.76616	  -0.40801
 223.99700	  12.76191	  -0.42012
 224.18400	  12.75356	  -0.41828
 224.37000	  12.76603	  -0.41895
 224.55800	  12.76203	  -0.40751
 224.74500	  12.76144	  -0.40823
 224.93300	  12.75977	  -0.40947
 225.12100	  12.76391	  -0.41041
 225.31000	  12.76461	  -0.41567
 225.49900	  12.75903	  -0.40743
 225.68800	  12.76996	  -0.41410
 225.87800	  12.77601	  -0.40781
 226.06800	  12.76613	  -0.40956
 226.25800	  12.76720	  -0.42149
 226.44900	  12.76443	  -0.42493
 226.64100	  12.77549	  -0.42043
 226.83100	  12.78214	  -0.41684
 227.02300	  12.77988	  -0.41437
 227.21500	  12.76613	  -0.41618
 227.40800	  12.76135	  -0.41854
 227.60100	  12.77613	  -0.41159
 227.79400	  12.77247	  -0.40987
 227.98700	  12.77734	  -0.40760
 228.17900	  12.77730	  -0.41281
 228.37100	  12.77042	  -0.40795
 228.56400	  12.77395	  -0.40859
 228.75700	  12.77298	  -0.41490
 228.95100	  12.78014	  -0.41200
 229.14400	  12.77066	  -0.41432
 229.33800	  12.76778	  -0.42579
 229.53300	  12.76292	  -0.42466
 229.72700	  12.76896	  -0.40513
 229.92300	  12.77263	  -0.41044
 230.11800	  12.77585	  -0.40685
 230.31400	  12.78147	  -0.41640
 230.51100	  12.78194	  -0.41430
 230.70700	  12.76894	  -0.41833
 230.90400	  12.78071	  -0.41994
 231.10100	  12.77323	  -0.41570
 231.29800	  12.77814	  -0.42171
 231.49700	  12.78004	  -0.41157
 231.69500	  12.78097	  -0.41625
 231.89400	  12.77061	  -0.40848
 232.09300	  12.78084	  -0.42125
 232.29200	  12.78372	  -0.40974
 232.49100	  12.77772	  -0.40425
 232.69100	  12.77757	  -0.40544
 232.89100	  12.77552	  -0.41874
 233.08400	  12.77487	  -0.41162
 233.28300	  12.77330	  -0.41294
 233.48400	  12.77493	  -0.41595
 233.68500	  12.77909	  -0.40919
 233.88600	  12.77249	  -0.40458
 234.08800	  12.77544	  -0.41505
 234.28900	  12.77476	  -0.41778
 234.49100	  12.77911	  -0.42834
 234.69300	  12.77143	  -0.41929
 234.89500	  12.77951	  -0.41520
 235.09600	  12.77312	  -0.42010
 235.29900	  12.77759	  -0.40254
 235.50100	  12.76948	  -0.40634
 235.70400	  12.78523	  -0.40524
 235.90600	  12.78104	  -0.41412
 236.10900	  12.78655	  -0.41670
 236.31100	  12.77567	  -0.41044
 236.51300	  12.77876	  -0.40627
 236.71600	  12.78427	  -0.41879
 236.91800	  12.77998	  -0.41930
 237.12100	  12.78734	  -0.40881
 237.32200	  12.77419	  -0.41081
 237.52400	  12.77308	  -0.41300
 237.72600	  12.77386	  -0.41542
 237.92800	  12.78053	  -0.41098
 238.12900	  12.77788	  -0.41602
 238.33100	  12.77552	  -0.41203
 238.53200	  12.79245	  -0.41659
 238.73300	  12.78423	  -0.41260
 238.93400	  12.78406	  -0.41303
 239.13400	  12.78318	  -0.41542
 239.33500	  12.78583	  -0.40842
 239.53500	  12.78825	  -0.40748
 239.73500	  12.77922	  -0.40960
 239.93400	  12.78039	  -0.41356
 240.13300	  12.78813	  -0.41155
 240.33200	  12.78326	  -0.41398
 240.53000	  12.79264	  -0.41413
 240.72900	  12.78487	  -0.40740
 240.92700	  12.78783	  -0.41158
 241.12400	  12.78264	  -0.41362
 241.32100	  12.78208	  -0.40350
 241.51700	  12.78938	  -0.41286
 241.71400	  12.77676	  -0.41491
 241.90900	  12.78038	  -0.41693
 242.10400	  12.78999	  -0.40776
 242.29900	  12.78783	  -0.41221
 242.49400	  12.79150	  -0.40719
 242.68800	  12.77521	  -0.41867
 242.88200	  12.79182	  -0.41013
 243.07500	  12.79754	  -0.41222
 243.26700	  12.78565	  -0.41255
 243.45900	  12.78907	  -0.41201
 243.65100	  12.78126	  -0.40406
 243.84200	  12.77597	  -0.41672
 244.03200	  12.78691	  -0.41721
 244.22000	  12.78831	  -0.41216
 244.40700	  12.77651	  -0.40821
 244.59500	  12.78341	  -0.39926
 244.78200	  12.78808	  -0.41344
 244.96800	  12.77842	  -0.40602
 245.16000	  12.78091	  -0.41219
 245.33900	  12.79049	  -0.41512
 245.52900	  12.78884	  -0.39856
 245.71500	  12.78622	  -0.41304
 245.89800	  12.79083	  -0.41871
 246.08000	  12.79379	  -0.41570
 246.26200	  12.79448	  -0.42082
 246.44400	  12.79684	  -0.41814
 246.62400	  12.78704	  -0.41848
 246.80400	  12.78424	  -0.41500
 246.98400	  12.79448	  -0.41662
 247.16400	  12.79563	  -0.40761
 247.34200	  12.79929	  -0.41794
 247.52100	  12.79015	  -0.40579
 247.69900	  12.79379	  -0.41583
 247.87600	  12.80206	  -0.41708
 248.05300	  12.80766	  -0.41503
 248.22900	  12.79671	  -0.41471
 248.40400	  12.78767	  -0.42406
 248.57900	  12.78334	  -0.40884
 248.75300	  12.79334	  -0.39966
 248.92700	  12.78920	  -0.40824
 249.10000	  12.79531	  -0.40945
 249.27300	  12.78565	  -0.41197
 249.44500	  12.79561	  -0.40890
 249.61600	  12.79853	  -0.41181
 249.78700	  12.79680	  -0.41332
 249.95800	  12.78867	  -0.42516
 250.12700	  12.80336	  -0.42057
 250.29600	  12.80486	  -0.41403
 250.46500	  12.80439	  -0.42458
 250.63400	  12.79277	  -0.41636
 250.80100	  12.79820	  -0.41978
 250.96800	  12.79930	  -0.42219
 251.13400	  12.79719	  -0.41478
 251.30000	  12.80579	  -0.40104
 251.46500	  12.79747	  -0.40620
 251.62900	  12.80675	  -0.41261
 251.79300	  12.80074	  -0.42077
 251.95600	  12.80003	  -0.41272
 252.12000	  12.80384	  -0.41812
 252.28200	  12.79430	  -0.41959
 252.44400	  12.80012	  -0.40673
 252.60400	  12.80897	  -0.41387
 252.76500	  12.80620	  -0.41987
 252.92500	  12.80336	  -0.41143
 253.08400	  12.80362	  -0.41161
 253.24300	  12.80018	  -0.40366
 253.40100	  12.79994	  -0.41825
 253.55900	  12.79808	  -0.40461
 253.71600	  12.79512	  -0.40825
 253.87300	  12.79514	  -0.42006
 254.02800	  12.80106	  -0.41371
 254.18400	  12.79874	  -0.42006
 254.33900	  12.80743	  -0.41071
 254.49300	  12.81330	  -0.41262
 254.64700	  12.81050	  -0.40818
 254.80000	  12.80776	  -0.41305
 254.95300	  12.80505	  -0.41205
 255.10500	  12.80500	  -0.40574
 255.25600	  12.81137	  -0.41141
 255.40700	  12.79493	  -0.41326
 255.55700	  12.79440	  -0.41241
 255.70600	  12.80305	  -0.40606
 255.85500	  12.79930	  -0.41724
 256.00400	  12.80307	  -0.42111
 256.15200	  12.79581	  -0.41924
 256.29900	  12.79245	  -0.41112
 256.44600	  12.80644	  -0.40920
 256.59300	  12.79940	  -0.41195
 256.73900	  12.80232	  -0.41194
 256.88500	  12.80402	  -0.41652
 257.03000	  12.79373	  -0.41060
 257.17400	  12.80713	  -0.40739
 257.31900	  12.80947	  -0.40663
 257.46300	  12.81008	  -0.41168
 257.60600	  12.80639	  -0.40123
 257.75000	  12.81494	  -0.40936
 257.89300	  12.80343	  -0.41124
 258.03600	  12.79515	  -0.41551
 258.17800	  12.80400	  -0.42069
 258.31900	  12.80625	  -0.41365
 258.46100	  12.81733	  -0.41932
 258.60200	  12.80373	  -0.41658
 258.74300	  12.80629	  -0.40809
 258.88300	  12.80885	  -0.41756
 259.02300	  12.80637	  -0.41565
 259.16300	  12.80852	  -0.40847
 259.30200	  12.79853	  -0.41248
 259.44100	  12.80795	  -0.41608
 259.58000	  12.80535	  -0.41938
 259.71800	  12.81414	  -0.42250
 259.85600	  12.80784	  -0.42131
 259.99300	  12.80686	  -0.41596
 260.13100	  12.79926	  -0.41799
 260.26700	  12.80356	  -0.40824
 260.40300	  12.81292	  -0.41899
 260.53900	  12.81033	  -0.41018
 260.67500	  12.81105	  -0.41673
 260.81000	  12.81503	  -0.40497
 260.94500	  12.81287	  -0.40989
 261.07800	  12.80353	  -0.40867
 261.21100	  12.81358	  -0.41360
 261.34300	  12.82236	  -0.41672
 261.47400	  12.81640	  -0.41070
 261.60600	  12.80694	  -0.40515
 261.73700	  12.80956	  -0.40929
 261.86700	  12.81691	  -0.40887
 261.99700	  12.82114	  -0.40703
 262.12700	  12.81413	  -0.41443
 262.25700	  12.80783	  -0.41872
 262.38500	  12.80852	  -0.40702
 262.51400	  12.81057	  -0.42056
 262.64200	  12.81220	  -0.41134
 262.76900	  12.81407	  -0.41233
 262.89700	  12.80738	  -0.40791
 263.02300	  12.79801	  -0.41034
 263.14900	  12.81098	  -0.40130
 263.27500	  12.80678	  -0.41072
 263.40000	  12.81348	  -0.41630
 263.52500	  12.82054	  -0.41750
 263.65000	  12.82061	  -0.41386
 263.77400	  12.81438	  -0.41019
 263.89700	  12.81231	  -0.41059
 264.02100	  12.80287	  -0.40828
 264.14400	  12.80023	  -0.40186
 264.26600	  12.81025	  -0.40729
 264.38800	  12.82572	  -0.40227
 264.50900	  12.81830	  -0.41072
 264.63000	  12.81906	  -0.41687
 264.75000	  12.81838	  -0.41435
 264.87000	  12.82690	  -0.41497
 264.99000	  12.81843	  -0.41730
 265.10900	  12.82215	  -0.40663
 265.22800	  12.82487	  -0.39877
 265.34600	  12.81433	  -0.41675
 265.46300	  12.80588	  -0.41957
 265.58000	  12.82348	  -0.41751
 265.69700	  12.80552	  -0.41514
 265.81300	  12.81660	  -0.41737
 265.92900	  12.81517	  -0.40859
 266.04400	  12.80840	  -0.41081
 266.15900	  12.81894	  -0.41230
 266.27400	  12.81217	  -0.41061
 266.38700	  12.81212	  -0.40978
 266.50100	  12.81438	  -0.40281
 266.61400	  12.82650	  -0.41315
 266.72600	  12.81399	  -0.41789
 266.83800	  12.81732	  -0.40402
 266.95000	  12.81416	  -0.39835
 267.06100	  12.81101	  -0.39674
 267.17200	  12.82101	  -0.40124
 267.28200	  12.82798	  -0.41028
 267.39100	  12.81086	  -0.41404
 267.50000	  12.81433	  -0.41413
 267.61000	  12.81684	  -0.41107
 267.71700	  12.82017	  -0.40894
 267.82500	  12.81911	  -0.40442
 267.93300	  12.81735	  -0.41083
 268.03900	  12.81835	  -0.40605
 268.14500	  12.81984	  -0.41704
 268.25100	  12.81670	  -0.42360
 268.35700	  12.81362	  -0.41107
 268.46200	  12.82331	  -0.40050
 268.56600	  12.81669	  -0.41575
 268.67000	  12.81721	  -0.40533
 268.77400	  12.82709	  -0.40742
 268.87700	  12.82072	  -0.41144
 268.97900	  12.81473	  -0.40414
 269.08100	  12.82405	  -0.42239
 269.18300	  12.82878	  -0.41398
 269.28400	  12.82591	  -0.40742
 269.38500	  12.81586	  -0.41026
 269.48500	  12.82790	  -0.40286
 269.58500	  12.82053	  -0.40616
 269.68400	  12.82964	  -0.40845
 269.78300	  12.82302	  -0.40768
 269.88200	  12.82648	  -0.41498
 269.98000	  12.81832	  -0.40842
 270.07700	  12.81749	  -0.41380
 270.16800	  12.82108	  -0.41472
