k,e1,e2
6794.87,78.8543,0.0392935
6826.92,78.8825,0.0387429
6858.97,78.9103,0.0382026
6891.03,78.9378,0.0376722
6923.08,78.9648,0.0371516
6955.13,78.9915,0.0366406
6987.18,79.0178,0.0361389
7019.23,79.0438,0.0356463
7051.28,79.0694,0.0351626
7083.33,79.0947,0.0346877
7115.38,79.1196,0.0342212
7147.44,79.1442,0.0337631
7179.49,79.1684,0.0333131
7211.54,79.1923,0.0328711
7243.59,79.216,0.0324368
7275.64,79.2393,0.0320102
7307.69,79.2623,0.031591
7339.74,79.285,0.0311791
7371.79,79.3074,0.0307744
7403.85,79.3295,0.0303766
7435.9,79.3513,0.0299856
7467.95,79.3729,0.0296013
7500.0,79.3941,0.0292236
7532.05,79.4151,0.0288522
7564.1,79.4359,0.0284872
7596.15,79.4564,0.0281282
7628.21,79.4766,0.0277753
7660.26,79.4965,0.0274282
7692.31,79.5163,0.0270869
7724.36,79.5357,0.0267512
7756.41,79.555,0.0264211
7788.46,79.5739,0.0260963
7820.51,79.5927,0.0257769
7852.56,79.6112,0.0254627
7884.62,79.6295,0.0251535
7916.67,79.6476,0.0248493
7948.72,79.6655,0.02455
7980.77,79.6831,0.0242555
8012.82,79.7006,0.0239657
8044.87,79.7178,0.0236805
8076.92,79.7348,0.0233998
8108.97,79.7517,0.0231235
8141.03,79.7683,0.0228516
8173.08,79.7847,0.0225839
8205.13,79.801,0.0223203
8237.18,79.817,0.0220609
8269.23,79.8329,0.0218054
8301.28,79.8485,0.0215539
8333.33,79.864,0.0213062
8365.38,79.8794,0.0210623
8397.44,79.8945,0.0208222
8429.49,79.9095,0.0205856
8461.54,79.9243,0.0203526
8493.59,79.9389,0.0201232
8525.64,79.9534,0.0198971
8557.69,79.9677,0.0196745
8589.74,79.9819,0.0194551
8621.79,79.9959,0.019239
8653.85,80.0097,0.0190261
8685.9,80.0234,0.0188163
8717.95,80.0369,0.0186096
8750.0,80.0503,0.0184059
8782.05,80.0635,0.0182051
8814.1,80.0766,0.0180073
8846.15,80.0896,0.0178123
8878.21,80.1024,0.0176202
8910.26,80.1151,0.0174308
8942.31,80.1276,0.0172441
8974.36,80.14,0.01706
9006.41,80.1523,0.0168786
9038.46,80.1644,0.0166997
9070.51,80.1765,0.0165233
9102.56,80.1883,0.0163494
9134.62,80.2001,0.016178
