Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),"Coil Signal"" (mV)",Range (mV),M. Quad. Signal (emu),M. Raw' (emu),"M. Raw"" (emu)",Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
3772630106,50.25257683,1000.004272,0.001622329,2.92E-06,1,0.999253354,40.02988815,1.989855774,10.40000003,0.017494894,0.003285943,0.25,7.69E-06,0.001620917,1.97E-05,50.2501564,50.2501564,999.9766235,1000.031921,43.61408974,17.51906242,45.38009262,0,0,0,40,50.03762817,6,4,1,1.943664551,54.25220108,,,,,,,,,,,,,,,,
3772630107,50.25886726,1000.031921,0.001620049,2.29E-06,1,0.999253354,40.02988815,1.989918207,10.39000042,0.017462306,0.003328208,0.25,1.20E-05,0.00161861,2.40E-05,50.25499725,50.25499725,1000.031921,1000.031921,43.70397702,17.51631918,45.38430786,0,0,0,40,50.05510712,6,4,1,1.965484619,53.27468491,,,,,,,,,,,,,,,,
3772630108,50.26610374,999.9950562,0.001632935,2.77E-06,1,0.999253354,40.02988815,1.989911733,10.39000042,0.017583753,0.003449982,0.25,2.09E-05,0.001631423,3.31E-05,50.26273727,50.26273727,999.9581909,1000.031921,43.40695819,17.51762158,45.38453293,0,0,0,40,50.07300186,6,4,1,1.96395874,53.76344299,,,,,,,,,,,,,,,,
3772630109,50.2726593,999.9973755,0.001625264,1.88E-06,1,0.999253354,40.02988815,1.989911733,10.40000003,0.017523146,0.003313758,0.25,9.72E-06,0.001623845,2.18E-05,50.26947021,50.26947021,999.9581909,1000.03656,43.20686129,17.51762158,45.38076019,0,0,0,40,50.0916748,6,4,1,1.951599121,50.83089066,,,,,,,,,,,,,,,,
3772630110,50.28018188,1000.034241,0.001623926,2.71E-06,1,0.999253354,40.02988815,1.9899236,10.39000042,0.01749826,0.003368973,0.25,1.51E-05,0.001622472,2.71E-05,50.27584839,50.27584839,1000.031921,1000.03656,43.55155946,17.51706202,45.39407349,0,0,0,40,50.11181641,6,4,1,1.963348389,54.25220108,,,,,,,,,,,,,,,,
3772630111,50.28798676,1000.022705,0.001620751,2.70E-06,1,0.999253354,40.02988815,1.9899236,10.39000042,0.017476966,0.003292056,0.25,8.53E-06,0.001619353,2.06E-05,50.28451538,50.28451538,1000.013489,1000.031921,43.88218833,17.51706202,45.38763809,0,0,0,40,50.13134003,6,4,1,1.953277588,53.27468491,,,,,,,,,,,,,,,,
3772630112,50.29684258,1000.027313,0.001625063,3.19E-06,1,0.999253354,40.02988815,1.989953096,10.39000042,0.017516655,0.003339661,0.25,1.22E-05,0.001623638,2.42E-05,50.29145813,50.29145813,1000.013489,1000.041138,43.73680542,17.51822467,45.39185333,0,0,0,40,50.15125656,6,4,1,1.954345703,53.76344299,,,,,,,,,,,,,,,,
3772630113,50.30639458,1000.03421,0.001625527,2.74E-06,1,0.999253354,40.02988815,1.989931263,10.39000042,0.017528655,0.003301614,0.25,8.54E-06,0.001624133,2.06E-05,50.30222702,50.30222702,1000.027283,1000.041138,43.29909345,17.52020117,45.39629364,0,0,0,40,50.17256927,6,4,1,1.955566406,54.25220108,,,,,,,,,,,,,,,,
3772630114,50.31520462,999.997345,0.001623479,2.98E-06,1,0.999253354,40.02988815,1.989931263,10.39000042,0.017509421,0.003282203,0.25,7.12E-06,0.001622103,1.92E-05,50.31056213,50.31056213,999.9674072,1000.027283,43.77354196,17.52020117,45.39562607,0,0,0,40,50.19313812,6,4,1,1.954650879,53.76344299,,,,,,,,,,,,,,,,
3772630115,50.32625961,999.9720154,0.001618804,2.37E-06,1,0.999253354,40.02988815,1.989928622,10.40000003,0.017447944,0.003333364,0.25,1.27E-05,0.001617395,2.47E-05,50.31984711,50.31984711,999.9674072,999.9766235,43.49450058,17.52112322,45.38874817,0,0,0,40,50.21451569,6,4,1,1.952056885,53.76344299,,,,,,,,,,,,,,,,
3772630116,50.33729935,1000.004272,0.001613512,2.46E-06,1,0.999253354,40.02988815,1.98990999,10.40000003,0.017387129,0.003342571,0.25,1.45E-05,0.001612099,2.65E-05,50.33267212,50.33267212,999.9766235,1000.031921,43.70788517,17.51953788,45.39141083,0,0,0,40,50.22552872,6,4,1,1.953582764,53.76344299,,,,,,,,,,,,,,,,
3772630117,50.34830666,999.9996643,0.001620578,2.72E-06,1,0.999253354,40.02988815,1.989914711,10.39000042,0.01747038,0.003318918,0.25,1.10E-05,0.001619191,2.31E-05,50.34192657,50.34192657,999.9674072,1000.031921,43.58751437,17.51667309,45.39451981,0,0,0,40,50.25933456,6,4,1,1.95022583,53.76344299,,,,,,,,,,,,,,,,
3772630118,50.35935211,999.9996643,0.001608155,2.45E-06,1,0.999253354,40.02988815,1.989914711,10.39000042,0.017342416,0.003261274,0.25,7.98E-06,0.001606807,1.99E-05,50.35468674,50.35468674,999.9674072,1000.031921,43.58204298,17.51667309,45.39296341,0,0,0,40,50.28323364,6,4,1,1.954193115,54.25220108,,,,,,,,,,,,,,,,
3772630119,50.37125206,1000.034241,0.001614609,2.81E-06,1,0.999253354,40.02988815,1.990034079,10.39000042,0.017410477,0.003288693,0.25,9.32E-06,0.001613251,2.13E-05,50.36401749,50.36401749,1000.031921,1000.03656,43.70397702,17.51744732,45.40050888,0,0,0,40,50.30713272,6,4,1,1.949157715,54.74095917,,,,,,,,,,,,,,,,
3772630120,50.38431358,1000.029633,0.001613068,2.62E-06,1,0.999253354,40.02988815,1.989883284,10.40000003,0.01739038,0.003297976,0.25,1.05E-05,0.00161171,2.25E-05,50.37848663,50.37848663,1000.022705,1000.03656,43.50075361,17.51772896,45.40583801,0,0,0,40,50.33251953,6,4,1,1.952667236,53.76344299,,,,,,,,,,,,,,,,
3772630121,50.39721107,1000.024994,0.001611595,2.28E-06,1,0.999253354,40.02988815,1.989883284,10.40000003,0.017376562,0.003284064,0.25,9.46E-06,0.001610252,2.14E-05,50.39014053,50.39014053,1000.022705,1000.027283,43.4757415,17.51772896,45.40716934,0,0,0,40,50.35838318,6,4,1,1.953582764,54.25220108,,,,,,,,,,,,,,,,
3772630122,50.4120636,1000.029602,0.001612065,2.60E-06,1,0.999253354,40.02988815,1.989929639,10.39000042,0.017380431,0.003294183,0.25,1.03E-05,0.001610723,2.23E-05,50.40428162,50.40428162,1000.027283,1000.031921,43.59767555,17.51776119,45.40317154,0,0,0,40,50.38489151,6,4,1,1.954345703,54.25220108,,,,,,,,,,,,,,,,
3772630123,50.42611504,999.9927673,0.001617291,2.08E-06,1,0.999253354,40.02988815,1.990007083,10.39000042,0.017436524,0.00331035,0.25,1.08E-05,0.001615949,2.29E-05,50.41984558,50.41984558,999.9536133,1000.031921,43.7938643,17.51761886,45.41315842,0,0,0,40,50.412117,6,4,1,1.954040527,53.27468491,,,,,,,,,,,,,,,,
3772630124,50.44148254,999.9559021,0.001610413,2.00E-06,1,0.999253354,40.02988815,1.989886727,10.39000042,0.017367802,0.003261425,0.25,7.58E-06,0.001609108,1.95E-05,50.43238449,50.43238449,999.9536133,999.9581909,43.38194607,17.51706238,45.41848755,0,0,0,40,50.43963623,6,4,1,1.953125,54.25220108,,,,,,,,,,,,,,,,
3772630125,50.45732498,999.9927368,0.001615783,3.35E-06,1,0.999253354,40.02988815,1.989886727,10.40000003,0.017424927,0.003277098,0.25,8.04E-06,0.001614478,2.01E-05,50.4505806,50.4505806,999.9581909,1000.027283,43.58595112,17.51706238,45.42026138,0,0,0,40,50.46666718,6,4,1,1.952209473,53.27468491,,,,,,,,,,,,,,,,
3772630126,50.47133064,1000.029602,0.001607697,1.84E-06,1,0.999253354,40.02988815,1.989880161,10.40000003,0.017339549,0.003250851,0.25,7.09E-06,0.001606413,1.90E-05,50.46406937,50.46406937,1000.027283,1000.031921,43.5992388,17.51893795,45.41981888,0,0,0,40,50.4927597,6,4,1,1.941680908,54.25220108,,,,,,,,,,,,,,,,
3772630127,50.48792648,1000.031921,0.001615138,2.45E-06,1,0.999253354,40.02988815,1.989892083,10.39000042,0.017432734,0.00319624,0.25,6.66E-07,0.001613904,1.27E-05,50.47859192,50.47859192,1000.031921,1000.031921,43.76885219,17.51807552,45.42935944,0,0,0,40,50.51790237,6,4,1,1.956176758,53.76344299,,,,,,,,,,,,,,,,
3772630128,50.50405884,1000.004272,0.001617344,3.05E-06,1,0.999253354,40.02988815,1.98990018,10.39000042,0.017458617,0.003190163,0.25,-3.03E-07,0.001616124,1.17E-05,50.49726105,50.49726105,999.9766235,1000.031921,43.55703086,17.52360262,45.42425537,0,0,0,40,50.54157257,6,4,1,1.952514648,54.74095917,,,,,,,,,,,,,,,,
3772630129,50.52017212,999.9766235,0.001630938,2.09E-06,1,0.999253354,40.02988815,1.989914915,10.39000042,0.017598353,0.00325648,0.25,3.35E-06,0.001629688,1.55E-05,50.51085663,50.51085663,999.9766235,999.9766235,43.70397702,17.52439911,45.43224716,0,0,0,40,50.56523514,6,4,1,1.955566406,53.76344299,,,,,,,,,,,,,,,,
3772630130,50.53695297,999.9743347,0.001613881,2.82E-06,1,0.999253354,40.02988815,1.989914915,10.39000042,0.017429278,0.003141056,0.25,-4.22E-06,0.001612709,7.78E-06,50.52948761,50.52948761,999.9720459,999.9766235,43.61174486,17.52439911,45.43157959,0,0,0,40,50.58777237,6,4,1,1.944580078,53.76344299,,,,,,,,,,,,,,,,
3772630131,50.55313873,1000.004303,0.001607156,3.53E-06,1,0.999253354,40.02988815,1.98988445,10.40000003,0.017346752,0.003181206,0.25,7.28E-07,0.001605961,1.27E-05,50.54441833,50.54441833,999.9720459,1000.03656,43.52498409,17.5254626,45.4364624,0,0,0,40,50.60947418,6,4,1,1.951293945,54.25220108,,,,,,,,,,,,,,,,
3772630132,50.56981087,1000.038849,0.001618243,3.00E-06,1,0.999253354,40.02988815,1.98988445,10.40000003,0.017448146,0.003303548,0.25,1.00E-05,0.001616979,2.21E-05,50.56185913,50.56185913,1000.03656,1000.041138,43.40773982,17.5254626,45.43424225,0,0,0,40,50.63046265,2,4,1,1.952514648,54.25220108,,,,,,,,,,,,,,,,
3772630133,50.58566856,1000.004272,0.001605496,2.55E-06,1,0.999253354,40.02988815,1.989858623,10.40000003,0.017337336,0.003131241,0.25,-3.60E-06,0.001604351,8.35E-06,50.5777626,50.5777626,999.9674072,1000.041138,43.55077783,17.52338112,45.44955444,0,0,0,40,50.65040588,2,4,1,1.953582764,54.74095917,,,,,,,,,,,,,,,,
3772630134,50.60243416,999.9651184,0.001613069,3.14E-06,1,0.999253354,40.02988815,1.989946559,10.39000042,0.017407069,0.003216455,0.25,2.90E-06,0.001611877,1.49E-05,50.59357452,50.59357452,999.9628296,999.9674072,43.79699082,17.52448035,45.44889069,0,0,0,40,50.67070007,2,4,1,1.954650879,53.27468491,,,,,,,,,,,,,,,,
3772630135,50.62000275,999.9766541,0.001617494,3.24E-06,1,0.999253354,40.02988815,1.989946559,10.39000042,0.01744408,0.003284572,0.25,8.40E-06,0.001616268,2.04E-05,50.61129379,50.61129379,999.9628296,999.9904785,43.26626505,17.52448035,45.45510483,0,0,0,40,50.68989944,2,4,1,1.953125,54.74095917,,,,,,,,,,,,,,,,
3772630136,50.63736725,999.9812622,0.001609567,3.59E-06,1,0.999253354,40.02988815,1.989919683,10.39000042,0.017379799,0.003151786,0.25,-2.45E-06,0.001608436,9.52E-06,50.6287117,50.6287117,999.9720459,999.9904785,43.47495987,17.52511884,45.46376038,0,0,0,40,50.70871735,2,4,1,1.951904297,53.76344299,,,,,,,,,,,,,,,,
