k,e1,e2
11.67474333193532,-554954.642378985,43754.48528191704
11.709485005348702,-551574.1022923846,44145.014694305224
11.744226678762084,-548217.8644931837,44533.5114547071
11.778968352175466,-544886.2421536512,44920.07498349329
11.813710025588847,-541579.5530715259,45304.78189125848
11.84845169900223,-538298.117449885,45687.685372669584
11.883193372415613,-535042.2556998557,46068.81476866733
11.917935045828994,-531812.2862789758,46448.17529681871
11.952676719242376,-528608.5235777401,46825.747948053984
11.987418392655758,-525431.2758662922,47201.48954652413
12.02216006606914,-522280.8433126317,47575.33296788493
12.056901739482521,-519157.51608291786,47947.18750998679
12.091643412895905,-516061.5725335337,48316.93940873582
12.126385086309286,-512993.27750361525,48684.45249079661
12.161126759722668,-509952.88071560644,49049.56895387221
12.195868433136052,-506940.61529030773,49412.11026448374
12.230610106549433,-503956.6963816446,49771.87816254124
12.265351779962815,-501001.31993518386,50128.655761508315
12.300093453376196,-498074.66157317255,50482.20873263525
12.33483512678958,-495176.87560767925,50832.28656157399
12.36957680020296,-492308.09418221435,51178.62386565786
12.404318473616343,-489468.42654108093,51520.94176026866
12.439060147029725,-486657.9584246233,51858.94926295539
12.473801820443107,-483876.75158755475,52192.344724362585
12.50854349385649,-481124.84343663236,52520.81727550562
12.54328516726987,-478402.24678314076,52844.048281515024
12.578026840683254,-475708.9497049368,53161.71279263808
12.612768514096635,-473044.9155122207,53473.48098400429
12.647510187510017,-470410.08281071053,53779.01957644462
12.6822518609234,-467804.3656555257,54077.99323145992
12.716993534336781,-465227.65378882916,54370.06591425985
12.751735207750162,-462679.8129541258,54654.90221963343
12.786476881163546,-460160.6852800699,54932.16865623207
12.821218554576928,-457670.0897266608,55201.53488565619
12.855960227990309,-455207.822586898,55462.674913516275
12.890701901403693,-452773.6580371061,55715.26823036707
12.925443574817074,-450367.34872951463,55959.00090112149
12.960185248230456,-447988.62642097875,56193.56660217029
12.994926921643836,-445637.2026321445,56418.66760602551
13.02966859505722,-443312.76933185227,56634.01571382047
13.064410268470601,-441014.9996420001,56839.33313644383
13.099151941883983,-438743.548558656,57034.35332547898
13.133893615297367,-436498.0536857069,57218.8217554355
13.168635288710748,-434278.13597787055,57392.496659004515
13.20337696212413,-432083.40049045876,57555.1497172693
13.23811863553751,-429913.43713375786,57706.56670691029
13.272860308950895,-427767.82143046526,57846.54810652072
13.307601982364275,-425646.1152750726,57974.90966414343
13.342343655777658,-423547.8676945456,58091.48292809597
13.37708532919104,-421472.6156101283,58196.115743057846
13.411827002604422,-419419.8846004454,58288.67271324036
13.446568676017804,-417389.1896664547,58369.035634288106
13.481310349431187,-415380.0359991208,58437.10389533196
13.516052022844569,-413391.91975093575,58492.79485237266
13.55079369625795,-411424.3288126199,58536.04417388869
13.585535369671334,-409476.74359653675,58566.806159276144
13.620277043084714,-407548.63782842905,58585.0540304032
13.655018716498097,-405639.4793491792,58590.78019625452
13.689760389911479,-403748.7309282881,58583.99649029835
13.724502063324861,-401875.851090734,58564.7343798904
13.759243736738243,-400020.29495877883,58533.04514670409
13.793985410151624,-398181.5151101314,58489.00003686179
13.828727083565008,-396358.9624537104,58432.69037915111
13.863468756978389,-394552.0871239744,58364.22766942899
13.89821043039177,-392760.3393945341,58283.7436190691
13.932952103805151,-390983.1706114097,58191.39016509477
13.967693777218535,-389220.03414594725,58087.33943944334
14.002435450631916,-387470.3863669994,57971.78369468052
14.037177124045298,-385733.6876315557,57844.935183372516
14.071918797458682,-384009.40329255577,57707.0259882763
14.106660470872063,-382297.00472213974,57558.307800509305
14.141402144285445,-380595.97034812457,57399.05164291305
14.176143817698827,-378905.78670099727,57229.547535933576
14.21088549111221,-377225.9494682345,57050.104103513244
14.24562716452559,-375555.96455228433,56861.048116708866
14.280368837938974,-373895.3491280876,56662.72397304341
14.315110511352355,-372243.63269557984,56455.4931099313
14.349852184765737,-370600.35812221793,56239.73335092595
14.384593858179121,-368965.0826702059,56015.838183973254
14.419335531592502,-367337.3790027963,55784.215971369245
14.454077205005884,-365716.83616375865,55545.28909164999
14.488818878419265,-364103.0605239403,55299.493014223954
14.523560551832649,-362495.6766886811,55047.275308173725
14.55830222524603,-360894.32835981075,54789.0945872767
14.593043898659412,-359298.67914594855,54525.41939395247
14.627785572072792,-357708.4133149472,54256.72702549035
14.662527245486176,-356123.236482473,53983.50230656605
14.697268918899558,-354542.8762309912,53706.23631268503
14.732010592312939,-352967.0826537392,53425.42504980748
14.766752265726323,-351395.6288187162,53141.56809598155
14.801493939139704,-349828.31114817515,52855.16721134817
14.836235612553086,-348264.949709677,52566.72492335243
14.870977285966468,-346705.3884153938,52276.743094424404
14.90571895937985,-345149.49512699357,51985.721479725355
14.940460632793231,-343597.16166420165,51694.1562828371
14.975202306206615,-342048.3037158575,51402.53871745013
15.009943979619997,-340502.8606530806,51111.35358321011
15.044685653033378,-338960.7952449662,50821.0778638928
15.079427326446762,-337422.0932780211,50532.17935599397
15.114168999860143,-335886.7630813451,50245.1153356544
15.148910673273525,-334354.83496034634,49960.331271571085
15.183652346686907,-332826.36054251395,49678.25959121125
15.21839402010029,-331301.4120394705,49399.31850721024
15.25313569351367,-329780.0814301893,49123.910910338
15.287877366927052,-328262.47957084683,48852.423334850566
15.322619040340435,-326748.7352372949,48585.225001420265
15.357360713753817,-325238.99410660815,48322.66694215942
15.3921023871672,-323733.4176845137,48065.08121154373
15.42684406058058,-322232.18218581594,47812.780186302334
15.461585733993964,-320735.4773751191,47566.05595657898
15.496327407407344,-319243.5053752877,47325.17980990921
15.531069080820727,-317756.4794511121,47090.40180880108
15.56581075423411,-316274.62277560076,46861.950461956396
15.600552427647491,-314798.16718621703,46640.032488454715
15.635294101060873,-313327.35193815577,46424.83267353408
15.670035774474256,-311862.42246152594,46216.51381395512
15.704777447887638,-310403.62912896066,46015.216750337866
15.739519121301019,-308951.2260398154,45821.06048331982
15.774260794714403,-307505.46982669167,45634.14236988954
15.809002468127783,-306066.61848956806,45454.538395839896
15.843744141541166,-304634.93026234076,45282.303519910674
15.87848581495455,-303210.6625160621,45117.4720849078
15.913227488367928,-301794.0707026692,44960.058290850575
15.947969161781312,-300385.40734244057,44810.05672503641
15.982710835194695,-298984.9210579474,44667.44294380995
16.017452508608073,-297592.85565670754,44532.17410077881
16.05219418202146,-296209.4492643043,44404.18961623174
16.086935855434838,-294834.9335092315,44283.41188258025
16.12167752884822,-293469.5327602947,44169.74700075326
16.156419202261603,-292113.4634169862,44063.08554262977
