#Frequency,Eps1,Eps2,Eps1,Eps2
177.42,-2562.44402,461.0392747,5,0.1
178.063,-2532.092442,462.3181163,5,0.1
178.706,-2510.42596,468.4661761,5,0.1
179.349,-2497.274164,470.1076032,5,0.1
179.992,-2484.783418,462.537196,5,0.1
180.635,-2464.96262,451.0286632,5,0.1
181.277,-2438.966421,445.7548476,5,0.1
181.92,-2414.53982,447.8989096,5,0.1
182.563,-2396.918817,453.6652945,5,0.1
183.206,-2386.385701,455.6649477,5,0.1
183.849,-2377.435065,449.940043,5,0.1
184.492,-2362.965481,437.7527026,5,0.1
185.134,-2339.859108,427.6144174,5,0.1
185.777,-2313.144474,426.1828632,5,0.1
186.42,-2290.604659,432.851751,5,0.1
187.063,-2276.256876,441.6252886,5,0.1
187.706,-2269.108509,447.1208243,5,0.1
188.349,-2264.613366,445.1863735,5,0.1
188.991,-2258.388035,439.2581176,5,0.1
189.634,-2249.843669,429.8120963,5,0.1
190.277,-2237.535763,418.8269325,5,0.1
190.92,-2221.367115,408.6107752,5,0.1
191.563,-2202.87793,401.7855559,5,0.1
192.205,-2185.957659,399.2970735,5,0.1
192.848,-2173.024331,396.2564609,5,0.1
193.491,-2160.921698,389.1400098,5,0.1
194.134,-2146.100263,380.3078109,5,0.1
194.777,-2128.102987,371.8051927,5,0.1
195.42,-2108.534305,366.6275992,5,0.1
196.062,-2089.453749,362.6250134,5,0.1
196.705,-2070.21555,360.0813428,5,0.1
197.348,-2051.04491,358.9933121,5,0.1
197.991,-2032.841833,360.5294294,5,0.1
198.634,-2017.04783,363.0712361,5,0.1
199.277,-2003.582335,365.6418343,5,0.1
199.919,-1991.378696,366.5579405,5,0.1
200.562,-1979.707329,368.0291585,5,0.1
201.205,-1969.88013,368.5479984,5,0.1
201.848,-1960.856215,366.9158776,5,0.1
202.491,-1950.831052,363.1414262,5,0.1
203.134,-1938.989493,359.3347106,5,0.1
203.776,-1926.127209,356.1725175,5,0.1
204.419,-1912.872276,354.2532638,5,0.1
205.062,-1899.864435,353.2683569,5,0.1
205.705,-1887.927394,353.8745252,5,0.1
206.348,-1877.860046,354.0753741,5,0.1
206.991,-1868.966206,353.7064412,5,0.1
207.633,-1860.590414,351.73081,5,0.1
208.276,-1852.11322,349.7253201,5,0.1
208.919,-1844.676834,347.1660138,5,0.1
209.562,-1838.306057,342.7944814,5,0.1
210.205,-1831.428696,334.9478296,5,0.1
210.847,-1821.623313,324.7272499,5,0.1
211.49,-1807.110762,313.4202874,5,0.1
212.133,-1787.492456,305.4537808,5,0.1
212.776,-1765.969478,303.8450104,5,0.1
213.419,-1748.075957,309.3298671,5,0.1
214.062,-1736.948688,314.8743336,5,0.1
214.704,-1729.847535,317.1683349,5,0.1
215.347,-1722.290007,313.9127373,5,0.1
215.99,-1710.680008,310.3234852,5,0.1
216.633,-1697.29583,309.6435248,5,0.1
217.276,-1685.355977,311.9188749,5,0.1
217.919,-1676.613762,314.6381645,5,0.1
218.561,-1669.826141,314.9089492,5,0.1
219.204,-1662.747477,313.6127003,5,0.1
219.847,-1654.88544,311.3599696,5,0.1
220.49,-1646.069882,309.2020708,5,0.1
221.133,-1637.335457,308.1400771,5,0.1
221.776,-1629.342044,306.5617315,5,0.1
222.418,-1621.534416,305.0370749,5,0.1
223.061,-1614.870785,303.4821501,5,0.1
223.704,-1608.519227,298.8871712,5,0.1
224.347,-1600.020232,293.3952151,5,0.1
224.99,-1589.213414,287.6651183,5,0.1
225.633,-1576.174385,284.0885182,5,0.1
226.275,-1563.269444,283.8795187,5,0.1
226.918,-1552.393988,285.1548338,5,0.1
227.561,-1543.413737,286.5680582,5,0.1
228.204,-1535.647014,287.2971397,5,0.1
228.847,-1528.343721,287.4790278,5,0.1
229.49,-1521.683103,287.8168748,5,0.1
230.132,-1516.456892,287.587932,5,0.1
230.775,-1511.87242,284.9992443,5,0.1
231.418,-1506.262648,280.870833,5,0.1
232.061,-1498.929763,275.6708649,5,0.1
232.704,-1489.405557,271.1601564,5,0.1
233.346,-1479.492472,269.3385762,5,0.1
233.989,-1470.936159,267.8850884,5,0.1
234.632,-1463.063925,266.3141776,5,0.1
235.275,-1455.484813,264.221043,5,0.1
235.918,-1447.738325,261.7906508,5,0.1
236.561,-1439.673537,259.2846373,5,0.1
237.203,-1431.516764,257.0590719,5,0.1
237.846,-1423.264244,254.5238525,5,0.1
238.489,-1414.227939,252.072796,5,0.1
239.132,-1405.129754,251.3096321,5,0.1
239.775,-1397.004371,250.5079919,5,0.1
240.418,-1389.411937,250.1102206,5,0.1
241.06,-1382.849582,249.4241919,5,0.1
241.703,-1376.661681,247.4550063,5,0.1
242.346,-1369.857507,244.7852238,5,0.1
242.989,-1362.268985,241.9202809,5,0.1
243.632,-1353.86536,239.3925622,5,0.1
244.275,-1345.383079,238.1771766,5,0.1
244.917,-1337.870114,237.2091426,5,0.1
245.56,-1330.943601,235.6067963,5,0.1
