T[K]	Re[\chi]	Im[\chi]
 283.13600	  12.46625	  -0.14479
 282.92600	  12.46384	  -0.14105
 282.71700	  12.46122	  -0.13910
 282.50500	  12.45862	  -0.13755
 282.29000	  12.45953	  -0.14124
 282.07100	  12.46795	  -0.14040
 281.84900	  12.45898	  -0.13571
 281.62300	  12.46499	  -0.14157
 281.39500	  12.47864	  -0.14838
 281.16400	  12.45700	  -0.14528
 280.93000	  12.47175	  -0.13678
 280.69100	  12.47847	  -0.13391
 280.44900	  12.46868	  -0.13822
 280.20400	  12.46389	  -0.14159
 279.95700	  12.46805	  -0.14242
 279.70600	  12.46634	  -0.14619
 279.45300	  12.47467	  -0.14306
 279.19800	  12.46161	  -0.14366
 278.93900	  12.46951	  -0.14579
 278.67600	  12.46662	  -0.14128
 278.41000	  12.47278	  -0.13767
 278.14300	  12.47965	  -0.13774
 277.87300	  12.47033	  -0.14038
 277.60100	  12.45829	  -0.13874
 277.32700	  12.46986	  -0.13323
 277.05100	  12.47069	  -0.14228
 276.77200	  12.47534	  -0.13348
 276.49100	  12.47542	  -0.14075
 276.20700	  12.47338	  -0.14798
 275.92100	  12.47846	  -0.13723
 275.63200	  12.46828	  -0.14003
 275.34000	  12.47363	  -0.13324
 275.04600	  12.47030	  -0.13874
 274.75100	  12.47508	  -0.13863
 274.45400	  12.46864	  -0.14488
 274.15700	  12.46879	  -0.13219
 273.85700	  12.47987	  -0.14733
 273.55400	  12.47796	  -0.14480
 273.25000	  12.47644	  -0.13940
 272.94300	  12.47096	  -0.14164
 272.63500	  12.46640	  -0.14980
 272.32400	  12.46797	  -0.15704
 272.01200	  12.48025	  -0.14901
 271.69700	  12.48459	  -0.13957
 271.37800	  12.48192	  -0.13408
 271.05900	  12.47773	  -0.14041
 270.73800	  12.47488	  -0.15426
 270.41500	  12.48406	  -0.13956
 270.09100	  12.48229	  -0.14714
 269.76300	  12.46910	  -0.14742
 269.43300	  12.47735	  -0.14228
 269.10300	  12.46891	  -0.13558
 268.77200	  12.47331	  -0.15390
 268.43800	  12.48342	  -0.15939
 268.10300	  12.47706	  -0.14647
 267.76700	  12.47231	  -0.13760
 267.42800	  12.46665	  -0.14213
 267.08700	  12.46692	  -0.15015
 266.74500	  12.47411	  -0.15127
 266.40200	  12.47915	  -0.15147
 266.05800	  12.47636	  -0.14937
 265.71200	  12.46517	  -0.13995
 265.36500	  12.46595	  -0.14655
 265.01700	  12.47439	  -0.14608
 264.66500	  12.47421	  -0.15397
 264.31300	  12.47958	  -0.14481
 263.96100	  12.47800	  -0.14443
 263.60600	  12.47710	  -0.14317
 263.25100	  12.47652	  -0.13735
 262.89300	  12.47575	  -0.14888
 262.53500	  12.48005	  -0.14694
 262.17600	  12.46980	  -0.14406
 261.81600	  12.46556	  -0.14400
 261.45500	  12.46662	  -0.14314
 261.09300	  12.47234	  -0.14946
 260.72600	  12.46964	  -0.14047
 260.35900	  12.47120	  -0.14461
 259.98900	  12.46773	  -0.14930
 259.61900	  12.46729	  -0.14480
 259.24900	  12.46387	  -0.13652
 258.87700	  12.46635	  -0.14780
 258.50400	  12.47054	  -0.14959
 258.13100	  12.47845	  -0.14260
 257.75700	  12.47590	  -0.15198
 257.38300	  12.47300	  -0.15089
 257.00800	  12.47379	  -0.14815
 256.63100	  12.46809	  -0.14924
 256.25300	  12.46347	  -0.14127
 255.87600	  12.46459	  -0.14961
 255.49800	  12.46609	  -0.14447
 255.11900	  12.47025	  -0.14316
 254.74000	  12.47309	  -0.14929
 254.36000	  12.45597	  -0.14263
 253.98000	  12.45468	  -0.13405
 253.59800	  12.46285	  -0.14130
 253.21700	  12.47028	  -0.14855
 252.83500	  12.46845	  -0.14889
 252.45300	  12.46752	  -0.14701
 252.07000	  12.46770	  -0.15154
 251.68700	  12.45639	  -0.14394
 251.30300	  12.46927	  -0.14379
 250.92000	  12.45654	  -0.15514
 250.53500	  12.46375	  -0.16007
 250.15000	  12.46295	  -0.15198
 249.76500	  12.46906	  -0.13710
 249.38000	  12.45808	  -0.14088
 248.99500	  12.46194	  -0.14363
 248.60900	  12.46418	  -0.14394
 248.22300	  12.45959	  -0.15218
 247.83800	  12.46382	  -0.15121
 247.45100	  12.47102	  -0.14290
 247.06400	  12.45721	  -0.14262
 246.67700	  12.45355	  -0.15135
 246.29000	  12.46283	  -0.13757
 245.90300	  12.46413	  -0.13624
 245.51600	  12.45428	  -0.14840
 245.12900	  12.45497	  -0.16314
 244.74100	  12.45728	  -0.14814
 244.35400	  12.45373	  -0.14473
 243.96600	  12.44322	  -0.14330
 243.57400	  12.44951	  -0.14243
 243.18300	  12.45680	  -0.14828
 242.79100	  12.45543	  -0.15108
 242.40000	  12.43535	  -0.14108
 242.00800	  12.44067	  -0.14097
 241.61600	  12.44168	  -0.15247
 241.22500	  12.44559	  -0.14858
 240.83400	  12.44940	  -0.13918
 240.44200	  12.45473	  -0.14702
 240.05100	  12.45108	  -0.14503
 239.66000	  12.43892	  -0.14446
 239.27000	  12.44253	  -0.14767
 238.88000	  12.45946	  -0.14403
 238.48900	  12.43685	  -0.14733
 238.09900	  12.43608	  -0.15363
 237.70900	  12.44490	  -0.15187
 237.31900	  12.44351	  -0.14611
 236.92900	  12.44492	  -0.15744
 236.54000	  12.44748	  -0.15456
 236.15000	  12.44624	  -0.15701
 235.76100	  12.45315	  -0.16339
 235.37300	  12.43857	  -0.16207
 234.98400	  12.43925	  -0.14903
 234.59700	  12.43446	  -0.14406
 234.20900	  12.43108	  -0.14925
 233.82200	  12.42924	  -0.16091
 233.43500	  12.43545	  -0.15493
 233.04800	  12.43180	  -0.14684
 232.66200	  12.43710	  -0.15081
 232.27600	  12.42890	  -0.15449
 231.89000	  12.43269	  -0.15797
 231.50600	  12.44008	  -0.14567
 231.12200	  12.43542	  -0.14864
 230.73900	  12.42239	  -0.15146
 230.35700	  12.42580	  -0.14642
 229.97500	  12.42848	  -0.15419
 229.59400	  12.43260	  -0.14740
 229.21400	  12.43332	  -0.15593
 228.83400	  12.43347	  -0.15434
 228.45300	  12.42554	  -0.14362
 228.07400	  12.43029	  -0.15024
 227.69200	  12.43277	  -0.15404
 227.31000	  12.42872	  -0.15229
 226.92800	  12.42759	  -0.15067
 226.54600	  12.42692	  -0.16142
 226.16500	  12.42324	  -0.15638
 225.78500	  12.41914	  -0.15727
 225.40500	  12.41897	  -0.15733
 225.02600	  12.42777	  -0.15025
 224.64700	  12.42533	  -0.14474
 224.26800	  12.42628	  -0.14591
 223.88900	  12.42127	  -0.14177
 223.51200	  12.42625	  -0.15634
 223.13400	  12.42048	  -0.15209
 222.75700	  12.41082	  -0.15200
 222.38100	  12.41988	  -0.14938
 222.00500	  12.41695	  -0.14428
 221.63000	  12.41704	  -0.15756
 221.25500	  12.42189	  -0.13922
 220.88100	  12.42072	  -0.14814
 220.50700	  12.40565	  -0.15626
 220.13400	  12.40974	  -0.15235
 219.76100	  12.41804	  -0.14839
 219.39000	  12.41586	  -0.16246
 219.01800	  12.40791	  -0.16498
 218.64800	  12.41867	  -0.15474
 218.27700	  12.41232	  -0.14857
 217.90800	  12.41183	  -0.15394
 217.53800	  12.41364	  -0.15289
 217.16900	  12.40888	  -0.15375
 216.80100	  12.40990	  -0.15390
 216.43300	  12.40508	  -0.14647
 216.06500	  12.41550	  -0.15054
 215.69800	  12.41358	  -0.16168
 215.33300	  12.41563	  -0.14567
 214.96700	  12.41207	  -0.16208
 214.60200	  12.41569	  -0.16232
 214.23600	  12.40272	  -0.15457
 213.87000	  12.40493	  -0.16793
 213.50500	  12.40829	  -0.16017
 213.14000	  12.41081	  -0.15108
 212.77200	  12.40227	  -0.15065
 212.40400	  12.39389	  -0.16209
 212.03700	  12.39993	  -0.16346
 211.67100	  12.40202	  -0.15612
 211.30400	  12.40087	  -0.16258
 210.94000	  12.39048	  -0.14884
 210.57500	  12.40744	  -0.14794
 210.21100	  12.39490	  -0.15909
 209.84800	  12.40028	  -0.16092
 209.48500	  12.40152	  -0.15031
 209.12300	  12.41182	  -0.15259
 208.76200	  12.40892	  -0.15962
 208.40200	  12.39748	  -0.15092
 208.04200	  12.40549	  -0.16768
 207.68300	  12.41152	  -0.15804
 207.32400	  12.40548	  -0.15640
 206.96600	  12.40808	  -0.15712
 206.60900	  12.39894	  -0.15090
 206.25200	  12.39423	  -0.15499
 205.89500	  12.38790	  -0.16167
 205.53900	  12.40532	  -0.15937
 205.18400	  12.39299	  -0.15544
 204.82900	  12.39821	  -0.14780
 204.47600	  12.39220	  -0.15762
 204.12300	  12.39900	  -0.16096
 203.77000	  12.40042	  -0.15404
 203.41800	  12.40127	  -0.14957
 203.06500	  12.39607	  -0.15291
 202.71400	  12.39639	  -0.15128
 202.36400	  12.40637	  -0.14791
 202.01400	  12.39570	  -0.15353
 201.66600	  12.41066	  -0.15232
 201.31700	  12.40395	  -0.16191
 200.97100	  12.39749	  -0.15165
 200.62400	  12.40437	  -0.15423
 200.27800	  12.40379	  -0.15393
 199.93300	  12.39964	  -0.16099
 199.58800	  12.38955	  -0.15993
 199.24400	  12.39335	  -0.16672
 198.90000	  12.39082	  -0.15837
 198.55700	  12.39241	  -0.16344
 198.21000	  12.38880	  -0.15597
 197.86300	  12.38530	  -0.15905
 197.51700	  12.38484	  -0.16046
 197.17400	  12.39007	  -0.16478
 196.82900	  12.38839	  -0.15376
 196.48500	  12.39093	  -0.15366
 196.14200	  12.38651	  -0.15739
 195.79800	  12.38288	  -0.15085
 195.45400	  12.38609	  -0.15800
 195.11000	  12.38622	  -0.16855
 194.76700	  12.38974	  -0.15934
 194.42300	  12.38360	  -0.15444
 194.08100	  12.38313	  -0.16686
 193.73900	  12.38853	  -0.17047
 193.39700	  12.38039	  -0.16892
 193.05500	  12.38268	  -0.15938
 192.71500	  12.38634	  -0.15879
 192.37400	  12.39262	  -0.15411
 192.03400	  12.39048	  -0.15365
 191.69300	  12.38197	  -0.16263
 191.35400	  12.37858	  -0.16349
 191.01500	  12.37666	  -0.16775
 190.67700	  12.38793	  -0.17048
 190.33800	  12.37759	  -0.15692
 190.00000	  12.37999	  -0.14762
 189.66300	  12.38399	  -0.15706
 189.32600	  12.37716	  -0.15648
 188.98900	  12.39275	  -0.14895
 188.65400	  12.38952	  -0.15014
 188.31800	  12.38136	  -0.15446
 187.98400	  12.38019	  -0.14775
 187.65000	  12.37905	  -0.15188
 187.31600	  12.37531	  -0.15507
 186.98400	  12.37593	  -0.16374
 186.65200	  12.38336	  -0.15907
 186.32100	  12.38256	  -0.16753
 185.98900	  12.38357	  -0.15547
 185.65800	  12.38023	  -0.15811
 185.32800	  12.38282	  -0.15581
 184.99800	  12.39038	  -0.15129
 184.66800	  12.37147	  -0.15719
 184.33700	  12.37852	  -0.16128
 184.00500	  12.38388	  -0.15662
 183.67300	  12.38637	  -0.15117
 183.34200	  12.38143	  -0.15887
 183.01100	  12.38058	  -0.15615
 182.68000	  12.38013	  -0.15889
 182.35200	  12.38679	  -0.15931
 182.02300	  12.37211	  -0.16062
 181.69500	  12.37930	  -0.16607
 181.36700	  12.38089	  -0.16520
 181.04000	  12.39151	  -0.15978
 180.71300	  12.37266	  -0.15885
 180.38700	  12.36889	  -0.15616
 180.06200	  12.37443	  -0.16400
 179.73700	  12.38422	  -0.16560
 179.41400	  12.38649	  -0.17033
 179.09000	  12.37725	  -0.15975
 178.76600	  12.38771	  -0.16318
 178.44300	  12.38809	  -0.15576
 178.12100	  12.37691	  -0.15582
 177.80000	  12.38679	  -0.16238
 177.48000	  12.38116	  -0.15441
 177.16000	  12.37680	  -0.15490
 176.84000	  12.37608	  -0.15565
 176.51000	  12.38033	  -0.15574
 176.17400	  12.37342	  -0.15889
 175.83900	  12.37401	  -0.15627
 175.50700	  12.38013	  -0.16712
