Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),"Coil Signal"" (mV)",Range (mV),M. Quad. Signal (emu),M. Raw' (emu),"M. Raw"" (emu)",Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
3772686353,50.16046524,109.3697433,0.000159451,3.27E-06,1,0.999253354,40.02988815,2.000970519,10.32000035,0.001709827,0.000426661,0.25,1.02E-05,0.000159233,1.13E-05,50.16066742,50.16066742,104.2365646,114.5029221,43.01145416,17.50963234,43.56785202,0,0,0,40,49.87483597,1,6,1,1.96182251,49.85337448,,,,,,,,,,,,,,,,
3772686354,50.16003609,119.7098274,0.000215173,3.45E-06,1,0.999253354,40.02988815,2.00094322,10.30999981,0.002311548,0.000552611,0.25,1.16E-05,0.000214895,1.32E-05,50.16026306,50.16026306,114.5029221,124.9167328,43.80871525,17.50776716,43.57406616,0,0,0,40,49.87405014,1,6,1,1.955108643,48.38709641,,,,,,,,,,,,,,,,
3772686355,50.1595993,130.1282501,0.000269309,3.73E-06,1,0.999253354,40.02988815,2.000902794,10.30999981,0.002892792,0.000693129,0.25,1.46E-05,0.00026896,1.66E-05,50.15980911,50.15980911,124.9167328,135.3397675,43.66567723,17.50615115,43.5729599,0,0,0,40,49.87385941,1,6,1,1.963348389,48.38709641,,,,,,,,,,,,,,,,
3772686356,50.15938377,139.9706955,0.000319378,3.76E-06,1,0.999253354,40.02988815,2.000902794,10.30999981,0.003436579,0.000789389,0.25,1.43E-05,0.000318987,1.67E-05,50.1593895,50.1593895,135.3397675,144.6016235,43.76807056,17.50615115,43.56940842,0,0,0,40,49.87370682,1,6,1,1.955566406,47.40958023,,,,,,,,,,,,,,,,
3772686357,50.15902519,149.7693634,0.000368978,4.49E-06,1,0.999253354,40.02988815,2.000838628,10.32000035,0.003974023,0.000890834,0.25,1.46E-05,0.000368541,1.73E-05,50.15937805,50.15937805,144.6016235,154.9371033,42.80510423,17.5050806,43.57007217,0,0,0,40,49.8731575,1,6,1,1.965026855,46.43206406,,,,,,,,,,,,,,,,
3772686358,50.15842628,159.9942551,0.00041904,4.32E-06,1,0.999253354,40.02988815,2.00082019,10.30999981,0.004509354,0.001032579,0.25,1.85E-05,0.00041853,2.16E-05,50.15867233,50.15867233,154.9371033,165.0514069,43.74852985,17.50401937,43.57562256,0,0,0,40,49.87189865,1,6,1,1.959381104,48.87585831,,,,,,,,,,,,,,,,
3772686359,50.15784073,169.6569824,0.000462222,4.46E-06,1,0.999253354,40.02988815,2.00082019,10.30999981,0.004987264,0.001066675,0.25,1.38E-05,0.000461708,1.72E-05,50.15818024,50.15818024,165.0514069,174.262558,43.45307427,17.50401937,43.57051849,0,0,0,40,49.87151718,1,6,1,1.96685791,48.87585831,,,,,,,,,,,,,,,,
3772686360,50.15740395,178.8957825,0.000508539,4.38E-06,1,0.999253354,40.02988815,2.000741917,10.32000035,0.005491082,0.001150205,0.25,1.30E-05,0.00050799,1.68E-05,50.15750122,50.15750122,174.262558,183.529007,44.03382426,17.50842047,43.57584381,0,0,0,40,49.87069702,1,6,1,1.965179443,47.89833832,,,,,,,,,,,,,,,,
3772686361,50.1570034,189.8971024,0.000560226,4.83E-06,1,0.999253354,40.02988815,2.000742044,10.32000035,0.006035536,0.001341693,0.25,2.12E-05,0.00055957,2.53E-05,50.15730667,50.15730667,183.529007,196.2651978,44.15341342,17.50419894,43.57384491,0,0,0,40,49.86988831,1,6,1,1.959381104,48.87585831,,,,,,,,,,,,,,,,
3772686362,50.15638161,200.8362198,0.00060842,4.66E-06,1,0.999253354,40.02988815,2.000742044,10.30999981,0.006565532,0.001398178,0.25,1.76E-05,0.000607748,2.21E-05,50.15670013,50.15670013,196.2651978,205.4072418,43.588296,17.50419894,43.56696701,0,0,0,40,49.86942673,1,6,1,1.958007813,48.38709641,,,,,,,,,,,,,,,,
3772686363,50.15558624,210.6579208,0.000647814,4.95E-06,1,0.999253354,40.02988815,2.000810171,10.30999981,0.006977752,0.001560458,0.25,2.53E-05,0.00064705,3.01E-05,50.15606308,50.15606308,205.4072418,215.9085999,43.89313113,17.50722937,43.57118225,0,0,0,40,49.86904526,1,6,1,1.955718994,48.87585831,,,,,,,,,,,,,,,,
3772686364,50.154953,219.7446671,0.000693835,5.12E-06,1,0.999253354,40.02988815,2.000810171,10.32000035,0.007491368,0.001573378,0.25,1.81E-05,0.000693083,2.33E-05,50.15510941,50.15510941,215.9085999,223.5807343,43.83060084,17.50722937,43.5689621,0,0,0,40,49.86866379,1,6,1,1.960144043,48.87585831,,,,,,,,,,,,,,,,
