43,10314.16,25994.22
44,12135.22,25969.84
45,13262.64,26794.4
46,13510.9,27835.77
47,13207.17,28556.11
48,12864.95,28942.49
49,12640.01,29382.98
50,12207.71,30174.3
51,11041.27,31129.97
52,9000.673,31507.98
53,6833.764,30681.65
54,5529.787,29001.69
55,5278.53,27413.57
56,5411.099,26475.3
57,5251.014,26034.45
58,4592.979,25533.34
59,3780.291,24501.4
60,3379.835,22961.69
61,3672.772,21337.32
62,4549.723,20038.07
63,5726.882,19271.88
64,6905.093,19086.42
65,7779.25,19379.92
66,8207.335,19847.24
67,8404.8,20211.29
68,8552.899,20535.29
69,8635.347,20970.52
70,8449.152,21556.58
71,7798.789,22070.57
72,6782.222,22113.14
73,5866.538,21480.05
74,5529.485,20414.68
75,5908.515,19389.2
76,6844.578,18805.96
77,7998.487,18932.42
78,8895.905,19867.83
79,9002.438,21374.54
80,8067.452,22771.65
81,6505.358,23369.27
82,5041.743,23094.04
83,4072.865,22357.73
84,3585.26,21567.03
85,3395.417,20921.76
86,3357.84,20480.64
87,3323.458,20243.38
88,3184.126,20138.37
89,2899.524,20062.61
90,2477.577,19907.65
91,2005.613,19588.73
92,1605.162,19101.66
93,1364.947,18517.54
94,1311.745,17942.38
95,1405.163,17478.41
96,1534.965,17173.94
97,1591.951,16990.11
98,1526.123,16818.62
99,1406.96,16553.82
100,1368.68,16198.65
101,1472.608,15859.9
102,1665.238,15641.16
103,1843.418,15573.9
104,1916.426,15617.13
105,1844.204,15683.99
106,1654.183,15684.15
107,1428.764,15577.64
108,1229.849,15385.87
109,1086.018,15155.21
110,975.5392,14913.68
111,900.4042,14664.65
112,864.3101,14425.45
113,846.5952,14209.86
114,829.7073,14011.25
115,810.47,13815.62
116,798.2816,13612.36
117,810.8621,13404.64
118,857.9996,13208.69
119,941.7614,13055.1
120,1019.686,12962.97
121,1059.293,12919.98
122,1033.047,12894.14
123,945.4554,12839.72
124,831.9418,12724.99
125,742.3811,12552.02
126,708.1425,12357.76
127,721.0338,12187.64
128,740.6114,12064.94
129,718.0851,11970.51
130,641.0895,11849.75
131,554.5148,11658.23
132,525.6647,11407.97
133,576.604,11146.86
134,701.6176,10919.69
135,871.6042,10757.11
136,1049.676,10668.33
137,1204.208,10644.64
138,1312.874,10666.69
139,1361.849,10704.58
140,1363.64,10728.28
141,1336.578,10719.33
142,1316.333,10677.32
143,1320.773,10628.39
144,1337.876,10598.2
145,1344.789,10594.17
146,1318.905,10604.35
147,1254.682,10603.46
148,1167.216,10569.42
149,1081.989,10497.11
150,1020.077,10400.99
151,980.6078,10303.27
152,942.5649,10208.73
153,900.9408,10099.22
154,880.4503,9966.041
155,899.7924,9824.414
156,965.5835,9701.166
157,1062.246,9623.798
158,1157.564,9604.216
159,1218.995,9631.993
160,1228.698,9680.163
161,1190.586,9719.628
162,1120.854,9732.44
163,1038.587,9715.203
164,950.9742,9670.451
165,865.072,9595.273
166,796.5648,9488.507
167,765.0923,9361.936
168,778.4611,9240.03
169,827.1923,9148.304
170,887.2562,9101.685
171,929.5367,9097.08
172,937.3308,9116.141
173,908.8002,9138.638
174,851.1363,9151.472
175,770.9139,9150.765
176,662.4744,9127.415
177,536.2311,9062.411
178,417.3004,8945.939
179,336.2915,8789.225
180,306.1063,8620.828
181,316.5236,8465.61
182,350.3214,8334.619
183,390.1044,8225.72
184,428.7033,8128.021
185,473.1882,8035.62
186,524.4681,7949.005
187,587.9241,7869.241
188,669.0393,7805.795
189,761.5651,7772.375
190,849.5439,7778.317
191,908.449,7821.104
192,915.7303,7878.378
193,874.1984,7915.133
194,809.4283,7904.631
195,768.1269,7850.519
196,769.6962,7789.761
197,796.292,7754.646
198,819.6518,7752.936
199,817.0545,7773.33
200,780.6323,7794.7
201,716.3994,7797.16
202,640.4733,7769.311
203,571.4346,7712.438
204,519.3705,7636.247
205,488.1183,7551.805
206,474.8341,7467.99
207,475.1947,7388.414
208,489.6177,7317.146
209,511.9061,7259.505
210,534.8116,7216.043
211,552.6619,7184.042
212,561.8688,7158.916
213,561.4664,7134.776
214,554.572,7106.571
215,547.2557,7074.142
216,539.8315,7040.189
217,531.0083,7004.718
218,520.4967,6965.495
219,511.5235,6919.997
220,509.1802,6868.542
221,518.9898,6815.517
222,542.0411,6768.843
223,574.3867,6736.043
224,608.7146,6721.786
225,635.7575,6727.482
226,644.313,6749.389
227,624.8452,6775.704
228,578.9666,6789.352
229,520.5967,6779.297
230,464.5046,6746.265
231,419.936,6698.712
232,387.3401,6646.229
233,361.9757,6593.87
234,340.0138,6541.376
235,320.992,6487.063
236,305.7268,6430.026
237,296.2038,6369.702
238,297.5666,6310.122
239,305.7921,6257.255
240,316.3684,6212.862
241,323.3311,6175.079
242,324.5694,6138.331
243,323.2043,6097.701
244,324.7776,6052.248
245,334.1945,6005.673
246,351.94,5964.88
247,371.7534,5934.175
248,388.2053,5913.459
249,395.4067,5899.38
250,391.2408,5885.354
251,378.1776,5865.363
252,360.8033,5835.571
253,345.1485,5795.05
254,337.5668,5746.792
255,340.2035,5697.046
256,350.6446,5650.747
257,365.1991,5610
258,380.2816,5574.016
259,394.4627,5539.852
260,410.9167,5505.754
261,433.136,5475.403
262,457.1817,5453.659
263,477.1324,5441.086
264,486.8669,5433.41
265,485.4312,5422.618
266,477.6122,5401.446
267,472.9664,5367.296
268,481.653,5325.37
269,506.4027,5285.902
270,544.9473,5259.447
271,586.2075,5252.994
272,617.7414,5264.678
273,632.4142,5286.123
274,629.363,5307.811
275,612.0873,5321.908
276,587.6957,5324.495
