54.96,20.7159,8.24446
55.44,22.756,0.0218983
55.93,23.8528,1.07803
56.41,21.3602,11.1223
56.89,18.3583,13.994
57.37,16.3066,13.509
57.85,15.7239,11.2405
58.34,16.4817,7.93793
58.82,17.7447,3.74276
59.3,18.7096,1.07354
59.78,18.7281,6.57987
60.26,18.2469,10.4684
60.75,18.2432,11.931
61.23,19.3234,10.2927
61.71,20.9271,5.14479
62.19,21.1434,0.0200332
62.68,21.3315,0.0202475
63.16,20.4605,7.46018
63.64,19.3471,10.4292
64.12,19.7298,9.48843
64.6,21.1855,4.94164
65.09,21.8335,0.0208238
65.57,22.6135,0.021731
66.05,23.9983,0.0233768
66.53,23.481,8.03332
67.01,22.1562,10.7619
67.5,20.4339,11.6089
67.98,18.9721,11.254
68.46,17.7351,11.032
68.94,17.2925,11.0938
69.42,18.5106,10.6007
69.91,22.249,6.02093
70.39,24.1652,0.0235781
70.87,24.1845,0.0236015
71.35,23.6009,0.0228999
71.84,23.1019,0.0223063
72.32,22.959,0.0221374
72.8,21.6946,6.44895
73.28,19.7054,9.52157
73.76,18.6477,9.91344
74.25,18.5362,9.34699
74.73,19.1432,8.54718
75.21,19.962,7.99095
75.69,20.6673,7.62555
76.17,21.1062,7.30607
76.66,21.3463,6.98697
77.14,21.6242,6.49494
77.62,21.7046,6.62896
78.1,21.3265,7.90254
78.59,20.5722,9.7214
79.07,19.8144,11.3633
79.55,19.5557,12.365
80.03,20.0993,12.4345
80.51,21.4424,11.2055
81,23.2312,8.09472
81.48,24.6722,0.0241937
81.96,24.1804,0.0235965
82.44,23.7263,0.02305
82.92,23.169,3.83774
83.41,22.5412,6.55079
83.89,22.6197,7.01687
84.37,23.0232,6.19628
84.85,23.1024,5.65672
85.33,22.6984,6.51383
85.82,22.4297,7.32868
86.3,22.8417,6.87717
86.78,23.4851,5.81464
87.26,23.7761,5.49791
87.75,23.8467,5.64776
88.23,24.0299,5.30325
88.71,24.2437,4.76384
89.19,24.158,5.25987
89.67,23.8089,6.48224
90.16,23.5793,7.2809
90.64,23.6109,7.4993
91.12,23.7019,7.55264
91.6,23.7579,7.48473
92.08,23.8349,7.09457
92.57,24.0444,6.17242
93.05,24.3371,4.86358
93.53,24.4208,4.24926
94.01,24.151,4.90805
94.49,23.6973,5.77377
94.98,23.403,5.92671
95.46,23.7121,4.22158
95.94,24.1595,0.0235712
96.42,24.1982,0.023618
96.91,24.1935,0.0236123
97.39,24.1417,0.0235498
97.87,24.0914,1.11171
98.35,23.4771,5.31583
98.83,23.089,7.03945
99.32,22.8519,8.10418
99.8,22.774,8.65473
100.28,22.864,8.78502
100.76,23.0738,8.62046
101.24,23.2761,8.34616
101.73,23.3277,8.15946
102.21,23.2357,8.05528
102.69,23.1509,7.85725
103.17,23.2467,7.40451
103.66,23.539,6.80955
104.14,23.876,6.50805
104.62,24.0455,6.96998
105.1,23.923,8.09312
105.58,23.5574,9.32049
106.07,23.1235,10.2078
106.55,22.8434,10.5307
107.03,22.829,10.3236
107.51,23.078,9.73588
107.99,23.4297,9.15457
108.48,23.7228,8.96782
108.96,23.9044,9.22194
109.44,24.0616,9.52355
109.92,24.344,9.37509
110.4,24.8159,8.52624
110.89,25.3787,7.11064
111.37,25.8436,5.69997
111.85,26.0624,5.2258
112.33,26.0789,5.81608
112.82,26.0839,6.59247
113.3,26.1879,7.0938
113.78,26.3026,7.49756
114.26,26.2804,8.03459
114.74,26.0929,8.60607
115.23,25.9042,8.85437
115.71,25.8973,8.64909
116.19,26.1683,8.11913
116.67,26.6742,7.60145
117.15,27.3643,7.13901
117.64,28.0763,6.73358
118.12,28.4899,6.84383
118.6,28.3643,7.94625
119.08,27.9373,9.27307
119.56,27.8025,9.68634
