k,e1,e2
105.1,-3595.94654,5159.7803015573745
105.58,-3625.69728,5101.415277538928
106.07,-3589.65129,5094.567586071839
106.55,-3578.55897,5047.2545390044115
107.03,-3640.02744,4944.125777089788
107.51,-3709.97798,4828.438553498651
107.99,-3713.94004,4788.587019115845
108.48,-3641.2201,4815.510197970132
108.96,-3573.41935,4851.273250031203
109.44,-3563.68949,4833.266882504752
109.92,-3575.80147,4814.5398053115
110.4,-3542.63492,4827.713707004709
110.89,-3459.3283,4877.520939931825
111.37,-3379.55208,4896.5731901890995
111.85,-3346.39651,4883.293269223782
112.33,-3344.1084,4855.001922944538
112.82,-3348.81956,4848.654797252261
113.3,-3354.75726,4837.303409722153
113.78,-3368.8353,4815.750787490245
114.26,-3377.78886,4776.077754205845
114.74,-3386.68472,4725.462730049503
115.23,-3406.78024,4634.181904329427
115.71,-3442.73002,4521.92109484297
116.19,-3462.38718,4425.566384363198
116.67,-3449.33666,4393.017397807834
117.15,-3405.53858,4405.164864266667
117.64,-3365.3064,4420.684550655219
118.12,-3359.19271,4378.256165248222
118.6,-3393.908,4281.655418860372
119.08,-3434.67524,4171.995364350353
119.56,-3472.5326,4096.506643910672
120.05,-3500.19523,4047.1772920223243
120.53,-3521.9949,4015.1783086936034
121.01,-3520.56524,3986.590629820015
121.49,-3503.84286,3960.981504046753
121.98,-3496.40527,3933.160263939662
122.46,-3502.31824,3893.7623267822964
122.94,-3501.3723,3862.514232673825
123.42,-3455.14128,3851.286392957057
123.9,-3376.76479,3847.910095183212
124.39,-3310.858,3810.5222973267946
124.87,-3298.99188,3731.569347308721
125.35,-3314.58117,3646.3077863364983
125.83,-3321.70094,3603.3585983320354
126.31,-3296.03306,3609.5333791430603
126.8,-3258.4172,3640.959714145426
127.28,-3221.32857,3671.0156736294784
127.76,-3193.19009,3693.8154935716966
128.24,-3182.11874,3699.9503210580156
128.73,-3192.00065,3670.119331617494
129.21,-3231.65735,3596.2040911988233
129.69,-3271.60196,3503.699872010795
130.17,-3286.7568,3432.0773522147965
130.65,-3264.10457,3400.167139793647
131.14,-3226.67524,3388.97645530517
131.62,-3209.81529,3368.274705319556
132.1,-3217.68884,3324.836213644209
132.58,-3236.15254,3274.7065457468693
133.06,-3229.1239,3245.0852566412145
133.55,-3191.58318,3243.450896966529
134.03,-3133.36071,3264.6213838519734
134.51,-3083.03383,3289.4189712003576
134.99,-3066.2389,3295.6479756799763
135.47,-3084.51962,3267.744830245516
135.96,-3128.00447,3198.7945877987645
136.44,-3165.39092,3113.323336495456
136.92,-3175.88688,3039.558925435291
137.4,-3139.74095,3012.9406228963608
137.89,-3072.59706,3028.1170187534995
138.37,-3012.45934,3047.623365730722
138.85,-2991.33133,3034.104744073749
139.33,-3014.13319,2976.113030961315
139.81,-3036.79909,2914.9587275848653
140.3,-3024.0457,2887.1260951113327
140.78,-2979.92908,2893.262411631482
141.26,-2939.97172,2903.3437762905282
141.74,-2945.40288,2877.57249871229
142.22,-2985.21999,2825.9551332394885
142.71,-3024.2574,2779.064284490225
143.19,-3040.7228,2762.409424954815
143.67,-3033.09219,2776.722566793903
144.15,-3021.57989,2792.8109838293444
144.64,-3012.94624,2792.4239123412613
145.12,-3009.36257,2762.4142318266263
145.6,-3005.73836,2702.1760077247254
146.08,-2996.59452,2636.05389854299
146.56,-2975.33617,2583.119291576965
147.05,-2934.34387,2563.6721851623256
147.53,-2885.1157,2561.7378955905915
148.01,-2851.29535,2539.194704339166
148.49,-2852.74726,2480.0041208630887
148.97,-2878.18716,2398.204690271867
149.46,-2893.86124,2325.715798375753
149.94,-2879.65073,2290.735454098706
150.42,-2832.14041,2276.207565827151
150.9,-2766.65769,2265.591857866402
151.38,-2697.19974,2246.672689095257
151.87,-2623.75922,2222.269588552051
152.35,-2579.98505,2212.299299752412
152.83,-2492.91044,2183.626008272198
153.31,-2395.24986,2170.574964785598
153.8,-2301.61085,2182.745575539662
154.28,-2216.5192,2219.5423980606693
154.76,-2145.09559,2286.035659714138
155.24,-2083.18046,2376.353337572275
155.72,-2028.75137,2484.9246884883123
156.21,-1996.43348,2604.9199082593946
156.69,-1994.86604,2716.7682129716
157.17,-2024.04095,2798.476564180696
157.65,-2079.30431,2845.229634739232
158.13,-2140.4905,2861.915533642193
158.62,-2190.59179,2858.5575237296684
159.1,-2231.27356,2837.8209573294785
159.58,-2252.82644,2806.8554848582526
160.06,-2262.58131,2776.761350791703
160.54,-2261.80997,2757.457208966987
161.03,-2255.42455,2742.933617669751
161.51,-2257.32381,2714.2663018616804
161.99,-2267.26296,2665.1192584900305
162.47,-2280.98968,2609.996571432757
162.96,-2297.38568,2563.7532708436424
