1 0.55245
1.01473 0.552532
1.02967 0.552615
1.04483 0.5527
1.06022 0.552786
1.07584 0.552873
1.09168 0.552962
1.10776 0.553052
1.12407 0.553143
1.14062 0.553235
1.15742 0.553329
1.17447 0.553424
1.19176 0.55352
1.20932 0.553618
1.22713 0.553717
1.2452 0.553818
1.26354 0.55392
1.28214 0.554024
1.30103 0.554129
1.32019 0.554236
1.33963 0.554344
1.35936 0.554454
1.37938 0.554565
1.39969 0.554678
1.4203 0.554793
1.44122 0.554909
1.46244 0.555027
1.48398 0.555147
1.50584 0.555269
1.52801 0.555392
1.55052 0.555517
1.57335 0.555644
1.59652 0.555772
1.62003 0.555903
1.64389 0.556035
1.6681 0.556169
1.69267 0.556305
1.71759 0.556444
1.74289 0.556584
1.76856 0.556726
1.7946 0.55687
1.82103 0.557017
1.84785 0.557165
1.87506 0.557316
1.90268 0.557468
1.9307 0.557623
1.95913 0.55778
1.98798 0.55794
2.01726 0.558101
2.04697 0.558266
2.07711 0.558432
2.1077 0.558601
2.13874 0.558772
2.17024 0.558946
2.2022 0.559122
2.23463 0.5593
2.26754 0.559482
2.30094 0.559665
2.33482 0.559852
2.36921 0.560041
2.4041 0.560233
2.4395 0.560428
2.47543 0.560625
2.51189 0.560825
2.54888 0.561028
2.58642 0.561234
2.62451 0.561443
2.66316 0.561655
2.70238 0.56187
2.74218 0.562088
2.78256 0.562309
2.82354 0.562533
2.86512 0.56276
2.90731 0.562991
2.95013 0.563225
2.99358 0.563462
3.03766 0.563703
3.0824 0.563947
3.12779 0.564194
3.17386 0.564445
3.2206 0.5647
3.26803 0.564958
3.31616 0.56522
3.36499 0.565485
3.41455 0.565755
3.46483 0.566028
3.51586 0.566305
3.56764 0.566586
3.62018 0.56687
3.67349 0.567159
3.72759 0.567452
3.78249 0.567749
3.83819 0.56805
3.89472 0.568356
3.95208 0.568665
4.01028 0.568979
4.06934 0.569298
4.12927 0.569621
4.19008 0.569948
4.25179 0.57028
4.3144 0.570617
4.37794 0.570958
4.44241 0.571304
4.50784 0.571655
4.57422 0.572011
4.64159 0.572372
4.70995 0.572738
4.77931 0.573109
4.84969 0.573485
4.92111 0.573866
4.99359 0.574252
5.06713 0.574644
5.14175 0.575042
5.21747 0.575445
5.29431 0.575853
5.37228 0.576267
5.4514 0.576687
5.53168 0.577112
5.61315 0.577544
5.69581 0.577981
5.77969 0.578424
5.86481 0.578874
5.95118 0.579329
6.03882 0.579791
6.12776 0.580259
6.218 0.580734
6.30957 0.581215
6.40249 0.581702
6.49678 0.582196
6.59246 0.582697
6.68955 0.583205
6.78807 0.583719
6.88803 0.584241
6.98947 0.584769
7.09241 0.585305
7.19686 0.585848
7.30284 0.586398
7.41039 0.586956
7.51953 0.587521
7.63027 0.588094
7.74264 0.588675
7.85666 0.589263
7.97237 0.589859
8.08978 0.590463
8.20891 0.591075
8.32981 0.591695
8.45248 0.592324
8.57696 0.59296
8.70327 0.593606
8.83144 0.59426
8.96151 0.594922
9.09348 0.595593
9.2274 0.596273
9.36329 0.596962
9.50119 0.59766
9.64111 0.598367
9.78309 0.599084
9.92717 0.599809
10.0734 0.600545
10.2217 0.601289
10.3723 0.602044
10.525 0.602808
10.68 0.603582
10.8373 0.604366
10.9969 0.60516
11.1588 0.605965
11.3232 0.60678
11.4899 0.607605
11.6591 0.608441
11.8308 0.609287
12.0051 0.610145
12.1819 0.611013
12.3613 0.611892
12.5433 0.612782
12.7281 0.613684
12.9155 0.614597
13.1057 0.615522
13.2987 0.616458
13.4946 0.617406
13.6933 0.618366
13.895 0.619337
14.0996 0.620321
14.3072 0.621318
14.5179 0.622326
14.7317 0.623347
14.9487 0.624381
15.1688 0.625428
15.3922 0.626487
15.6189 0.627559
15.8489 0.628645
16.0823 0.629744
16.3192 0.630856
16.5595 0.631982
16.8034 0.633122
17.0508 0.634276
17.302 0.635443
17.5568 0.636625
17.8153 0.637821
18.0777 0.639031
18.3439 0.640256
18.6141 0.641496
18.8882 0.642751
19.1664 0.64402
19.4486 0.645305
19.735 0.646605
20.0257 0.647921
20.3206 0.649253
20.6199 0.6506
20.9235 0.651964
21.2317 0.653343
21.5443 0.65474
21.8616 0.656152
22.1836 0.657582
22.5103 0.659028
22.8418 0.660492
23.1782 0.661973
23.5195 0.663471
23.8659 0.664988
24.2174 0.666522
24.574 0.668075
24.9359 0.669646
25.3032 0.671236
25.6758 0.672845
26.0539 0.674473
26.4376 0.676121
26.827 0.677789
27.222 0.679476
27.6229 0.681184
28.0297 0.682913
28.4425 0.684663
28.8614 0.686434
29.2864 0.688228
29.7177 0.690043
30.1554 0.691881
30.5995 0.693741
31.0501 0.695626
31.5074 0.697534
31.9714 0.699466
32.4423 0.701424
32.92 0.703407
33.4048 0.705416
33.8968 0.707452
34.396 0.709514
34.9025 0.711605
35.4166 0.713725
35.9381 0.715874
36.4674 0.718054
37.0045 0.720264
37.5494 0.722507
38.1024 0.724783
38.6635 0.727094
39.2329 0.729439
39.8107 0.731822
40.397 0.734242
40.9919 0.736702
41.5956 0.739202
42.2082 0.741746
42.8298 0.744334
43.4606 0.746968
44.1006 0.749651
44.7501 0.752385
45.4091 0.755172
46.0778 0.758016
46.7564 0.760919
47.445 0.763885
48.1437 0.766918
48.8527 0.770021
49.5722 0.7732
50.3022 0.77646
51.043 0.779807
51.7947 0.783247
52.5575 0.786789
53.3315 0.790442
54.117 0.794217
54.9139 0.798125
55.7226 0.802182
56.5433 0.806406
57.376 0.810818
58.221 0.815446
59.0784 0.820325
59.9484 0.825497
60.8313 0.831021
