W E1
2.6827 -2.82994e+06
2.72168 -2.77871e+06
2.76123 -2.72877e+06
2.80136 -2.68008e+06
2.84207 -2.6326e+06
2.88337 -2.58629e+06
2.92527 -2.54111e+06
2.96778 -2.49704e+06
3.0109 -2.45402e+06
3.05466 -2.41204e+06
3.09905 -2.37106e+06
3.14408 -2.33104e+06
3.18977 -2.29195e+06
3.23612 -2.25377e+06
3.28315 -2.21646e+06
3.33086 -2.18e+06
3.37926 -2.14436e+06
3.42837 -2.10951e+06
3.47819 -2.07542e+06
3.52874 -2.04208e+06
3.58001 -2.00945e+06
3.63204 -1.97751e+06
3.68482 -1.94624e+06
3.73837 -1.91562e+06
3.79269 -1.88562e+06
3.8478 -1.85622e+06
3.90372 -1.82741e+06
3.96045 -1.79916e+06
4.018 -1.77145e+06
4.07639 -1.74427e+06
4.13563 -1.7176e+06
4.19573 -1.69141e+06
4.2567 -1.6657e+06
4.31855 -1.64044e+06
4.38131 -1.61563e+06
4.44498 -1.59124e+06
4.50957 -1.56726e+06
4.5751 -1.54367e+06
4.64159 -1.52047e+06
4.70904 -1.49764e+06
4.77747 -1.47516e+06
4.8469 -1.45303e+06
4.91733 -1.43124e+06
4.98879 -1.40976e+06
5.06128 -1.3886e+06
5.13483 -1.36773e+06
5.20945 -1.34716e+06
5.28515 -1.32687e+06
5.36196 -1.30684e+06
5.43988 -1.28709e+06
5.51893 -1.26759e+06
5.59913 -1.24833e+06
5.68049 -1.22932e+06
5.76304 -1.21053e+06
5.84679 -1.19198e+06
5.93175 -1.17364e+06
6.01795 -1.15552e+06
6.1054 -1.1376e+06
6.19412 -1.11989e+06
6.28414 -1.10238e+06
6.37546 -1.08506e+06
6.4681 -1.06792e+06
6.5621 -1.05098e+06
6.65746 -1.03421e+06
6.7542 -1.01762e+06
6.85235 -1.0012e+06
6.95193 -984960
7.05295 -968884
7.15544 -952974
7.25943 -937228
7.36492 -921644
7.47194 -906219
7.58052 -890952
7.69068 -875843
7.80244 -860888
7.91583 -846089
8.03086 -831442
8.14756 -816948
8.26596 -802607
8.38608 -788416
8.50794 -774377
8.63158 -760489
8.75701 -746751
8.88427 -733164
9.01337 -719727
9.14435 -706440
9.27723 -693305
9.41205 -680319
9.54882 -667485
9.68759 -654802
9.82836 -642270
9.97119 -629890
10.1161 -617662
10.2631 -605586
10.4122 -593663
10.5635 -581892
10.717 -570274
10.8728 -558810
11.0308 -547499
11.1911 -536343
11.3537 -525339
11.5187 -514491
11.6861 -503796
11.8559 -493255
12.0282 -482869
12.203 -472636
12.3803 -462558
12.5602 -452633
12.7427 -442863
12.9279 -433245
13.1158 -423781
13.3064 -414469
13.4998 -405309
13.6959 -396301
13.895 -387444
14.0969 -378737
14.3017 -370180
14.5096 -361772
14.7204 -353512
14.9343 -345399
15.1513 -337432
15.3715 -329611
15.5949 -321933
15.8215 -314399
16.0514 -307007
16.2847 -299755
16.5213 -292643
16.7614 -285669
17.005 -278832
17.2521 -272130
17.5028 -265562
17.7572 -259126
18.0152 -252821
18.277 -246646
18.5426 -240599
18.812 -234677
19.0854 -228881
19.3628 -223207
19.6441 -217655
19.9296 -212222
20.2192 -206907
20.513 -201708
20.8111 -196624
21.1136 -191652
21.4204 -186792
21.7317 -182040
22.0475 -177396
22.3678 -172857
22.6929 -168422
23.0227 -164090
23.3572 -159857
23.6966 -155723
24.041 -151686
24.3904 -147743
24.7448 -143894
25.1044 -140137
25.4692 -136469
25.8393 -132889
26.2148 -129396
26.5957 -125987
26.9822 -122661
27.3743 -119416
27.7721 -116251
28.1757 -113163
28.5851 -110153
29.0005 -107217
29.422 -104354
29.8495 -101562
30.2833 -98840.9
30.7234 -96188.2
31.1698 -93602.5
31.6228 -91082.3
32.0823 -88626.2
32.5485 -86232.8
33.0215 -83900.7
33.5014 -81628.4
33.9882 -79414.6
34.4821 -77257.9
34.9832 -75157.1
35.4916 -73110.8
36.0073 -71117.7
36.5306 -69176.6
37.0614 -67286.2
37.6 -65445.4
38.1464 -63652.9
38.7007 -61907.6
39.2631 -60208.4
39.8337 -58554.1
40.4126 -56943.6
40.9998 -55375.9
41.5956 -53849.8
42.2001 -52364.4
42.8133 -50918.7
43.4355 -49511.6
44.0667 -48142.2
44.707 -46809.6
45.3567 -45512.8
46.0158 -44250.9
46.6845 -43023
47.3629 -41828.3
48.0512 -40665.9
48.7495 -39535
49.4579 -38434.7
50.1766 -37364.4
50.9058 -36323.1
51.6455 -35310.2
52.396 -34324.8
53.1574 -33366.4
53.9299 -32434.2
54.7136 -31527.5
55.5087 -30645.6
56.3153 -29787.8
57.1337 -28953.7
57.9639 -28142.4
58.8063 -27353.4
59.6608 -26586.2
60.5278 -25840.1
61.4074 -25114.6
62.2997 -24409.1
63.2051 -23723
64.1235 -23056
65.0554 -22407.4
66.0008 -21776.8
66.9599 -21163.6
67.9329 -20567.5
68.9201 -19987.9
69.9216 -19424.4
70.9377 -18876.5
71.9686 -18343.9
73.0144 -17826.1
74.0754 -17322.7
75.1519 -16833.4
76.244 -16357.7
77.3519 -15895.3
78.476 -15445.7
79.6164 -15008.8
80.7734 -14584
81.9471 -14171.1
83.138 -13769.8
84.3461 -13379.6
85.5718 -13000.5
86.8153 -12631.9
88.0769 -12273.7
89.3568 -11925.5
90.6554 -11587
91.9727 -11258.1
93.3093 -10938.4
94.6652 -10627.7
96.0409 -10325.7
97.4365 -10032.1
98.8525 -9746.89
100.289 -9469.65
101.746 -9200.2
103.225 -8938.34
104.725 -8683.85
106.247 -8436.52
107.791 -8196.15
109.357 -7962.57
110.946 -7735.56
112.559 -7514.96
114.194 -7300.59
115.854 -7092.26
117.537 -6889.8
119.245 -6693.07
120.978 -6501.89
122.736 -6316.1
124.52 -6135.57
126.329 -5960.13
128.165 -5789.65
130.027 -5624
131.917 -5463.02
133.834 -5306.6
135.779 -5154.6
137.752 -5006.9
139.754 -4863.38
141.785 -4723.92
143.845 -4588.41
145.935 -4456.73
148.056 -4328.78
150.208 -4204.46
152.39 -4083.66
154.605 -3966.28
156.852 -3852.23
159.131 -3741.4
161.443 -3633.72
163.789 -3529.1
166.17 -3427.44
168.584 -3328.66
171.034 -3232.68
173.52 -3139.43
176.041 -3048.82
178.599 -2960.78
181.195 -2875.24
183.828 -2792.13
186.499 -2711.38
189.209 -2632.92
191.959 -2556.68
194.748 -2482.62
197.578 -2410.65
200.45 -2340.73
203.362 -2272.8
206.318 -2206.8
209.316 -2142.67
212.358 -2080.37
215.443 -2019.83
218.574 -1961.02
221.751 -1903.88
224.973 -1848.36
228.242 -1794.43
231.559 -1742.02
234.924 -1691.11
238.338 -1641.65
241.801 -1593.59
245.315 -1546.9
248.88 -1501.54
252.497 -1457.47
256.166 -1414.66
259.888 -1373.06
263.665 -1332.65
267.497 -1293.39
271.384 -1255.25
275.328 -1218.2
279.329 -1182.2
283.388 -1147.23
287.506 -1113.25
291.684 -1080.25
295.922 -1048.18
300.223 -1017.03
304.586 -986.769
309.012 -957.371
313.502 -928.812
318.058 -901.068
322.68 -874.117
327.369 -847.935
332.126 -822.502
336.953 -797.796
341.849 -773.796
346.817 -750.482
351.857 -727.836
356.97 -705.838
362.157 -684.47
367.42 -663.714
372.759 -643.553
378.176 -623.97
383.672 -604.949
389.247 -586.474
394.904 -568.531
400.642 -551.103
406.464 -534.177
412.371 -517.738
418.364 -501.773
424.443 -486.269
430.611 -471.213
436.869 -456.593
443.217 -442.395
449.658 -428.61
