1 1.75632e+07
1.03182 1.68751e+07
1.06466 1.62084e+07
1.09854 1.55625e+07
1.1335 1.4937e+07
1.16957 1.43314e+07
1.20679 1.37453e+07
1.2452 1.31784e+07
1.28482 1.26301e+07
1.32571 1.21001e+07
1.3679 1.1588e+07
1.41143 1.10935e+07
1.45635 1.0616e+07
1.50269 1.01554e+07
1.55052 9.7111e+06
1.59986 9.28283e+06
1.65077 8.8702e+06
1.70331 8.47283e+06
1.75751 8.09037e+06
1.81344 7.72243e+06
1.87115 7.36864e+06
1.9307 7.02864e+06
1.99214 6.70206e+06
2.05554 6.38851e+06
2.12095 6.08764e+06
2.18845 5.79906e+06
2.25809 5.52242e+06
2.32995 5.25734e+06
2.4041 5.00345e+06
2.48061 4.76041e+06
2.55955 4.52783e+06
2.641 4.30537e+06
2.72505 4.09268e+06
2.81177 3.88941e+06
2.90125 3.69522e+06
2.99358 3.50976e+06
3.08884 3.33272e+06
3.18714 3.16376e+06
3.28857 3.00258e+06
3.39322 2.84886e+06
3.50121 2.70231e+06
3.61263 2.56262e+06
3.72759 2.42952e+06
3.84622 2.30273e+06
3.96862 2.18199e+06
4.09492 2.06702e+06
4.22523 1.95759e+06
4.35969 1.85345e+06
4.49843 1.75436e+06
4.64159 1.6601e+06
4.7893 1.57047e+06
4.94171 1.48523e+06
5.09898 1.40421e+06
5.26124 1.3272e+06
5.42868 1.25402e+06
5.60144 1.18449e+06
5.77969 1.11845e+06
5.96362 1.05573e+06
6.15341 996184
6.34923 939655
6.55129 886004
6.75977 835097
6.97489 786804
7.19686 741003
7.42589 697576
7.6622 656411
7.90604 617401
8.15764 580443
8.41725 545442
8.68511 512303
8.96151 480939
9.24669 451266
9.54095 423203
9.84458 396673
10.1579 371604
10.4811 347925
10.8147 325570
11.1588 304475
11.514 284579
11.8804 265824
12.2584 248155
12.6486 231519
13.0511 215863
13.4664 201141
13.895 187304
14.3371 174309
14.7934 162113
15.2642 150673
15.7499 139952
16.2512 129911
16.7683 120514
17.302 111726
17.8526 103514
18.4207 95846
19.0069 88691.6
19.6118 82021.4
20.2359 75807.6
20.8799 70023.3
21.5443 64643
22.23 59642.3
22.9374 54997.9
23.6674 50687.7
24.4205 46690.6
25.1977 42986.6
25.9996 39556.6
26.827 36382.6
27.6807 33447.5
28.5616 30735.2
29.4705 28230.3
30.4084 25918.6
31.3761 23786.5
32.3746 21821.1
33.4048 20010.6
34.4679 18343.6
35.5648 16809.7
36.6966 15398.9
37.8644 14102
39.0694 12910.4
40.3127 11816.2
41.5956 10811.7
42.9193 9890.01
44.2852 9044.7
45.6945 8269.72
47.1487 7559.51
48.6491 6908.87
50.1973 6313.03
51.7947 5767.54
53.443 5268.33
55.1438 4811.59
56.8987 4393.85
58.7094 4011.87
60.5777 3662.69
62.5055 3343.57
64.4947 3052
66.5471 2785.67
68.6649 2542.44
70.85 2320.35
73.1047 2117.62
75.4312 1932.59
77.8317 1763.76
80.3086 1609.72
82.8643 1469.23
85.5013 1341.09
88.2223 1224.26
91.0298 1117.75
93.9267 1020.68
96.9158 932.208
100 851.603
103.182 778.175
106.466 711.298
109.854 650.401
113.35 594.961
116.957 544.5
120.679 498.581
124.52 456.807
128.482 418.813
132.571 384.267
136.79 352.865
141.143 324.332
145.635 298.414
150.269 274.88
155.052 253.521
159.986 234.143
165.077 216.573
170.331 200.649
175.751 186.227
181.344 173.172
187.115 161.363
193.07 150.69
199.214 141.05
205.554 132.352
212.095 124.51
218.845 117.447
225.809 111.093
232.995 105.382
240.41 100.257
248.061 95.6619
255.955 91.548
264.1 87.8695
272.505 84.5848
281.177 81.6555
290.125 79.0464
299.358 76.7253
308.884 74.6623
318.714 72.8301
328.857 71.2035
